0.1: 2.1 9.5 (637435), -8 (5) 270
0.2: 2.4 11.3 (639960), 11 (0) 90
0.3: 2.8 11.1 (635856), 20 (0) 90
0.4: 2.1 10.4 (639804), 2 (4) 90
0.5: 2.0 9.3 (639865), -163 (0) 270
0.6: 2.0 8.0 (601360), 69 (0) 90
0.7: 2.0 5.8 (53867), -17 (8) 270
0.8: 2.0 3.9 (44), -35 (15) 270
0.9: 2.0 2.1 (135), 22 (68) 90
1.0: 2.0 2.6 (65061), -179 (35) 270
1.1: 2.0 2.0 (4), 166 (13) 90
1.3: 2.0 2.0 (9), -10 (89) 270
1.4: 2.0 2.1 (5273), 10 (89) 90
1.5: 2.0 2.1 (470), 6 (60) 90
1.6: 2.0 2.0 (366), 1 (8) 12 168
1.7: 2.0 2.0 (16), -3 (9) 324 216
1.8: 2.0 2.0 (15), 153 (83) 90
1.9: 2.0 2.0 (2), -90 (0) 270
2.0: 2.0 2.2 (525), -173 (39) 270
2.1: 2.0 2.3 (6), -174 (8) 270
2.2: 2.0 2.1 (17), -180 (0) 270
2.3: 2.0 3.0 (2), -180 (0) 270
2.4: 2.0 2.0 (2), 117 (0) 90
2.5: 2.0 2.0 (8), 135 (63) 90
2.6: 2.0 2.2 (10), -164 (45) 270
2.7: 2.0 2.0 (4), -162 (45) 270
2.9: 2.0 2.0 (4), 117 (0) 90
3.0: 2.0 2.5 (24), 169 (41) 90
3.1: 2.0 2.2 (20), -174 (25) 270
3.2: 2.0 2.1 (701), -179 (10) 270
3.3: 2.0 2.0 (82), 179 (4) 90
3.4: 2.0 2.1 (180), 178 (13) 90
3.5: 2.0 2.5 (339), -179 (20) 270
3.6: 2.0 2.5 (66), -169 (40) 270
3.7: 2.0 2.2 (61), -167 (33) 270
3.8: 2.0 2.1 (50), -165 (24) 270
3.9: 2.0 2.3 (70), -168 (26) 270
4.0: 2.0 2.6 (25), 174 (20) 90
4.1: 2.1 2.3 (326), 176 (20) 90
4.2: 2.1 2.2 (570), 179 (14) 90
4.3: 2.1 2.1 (841), 179 (12) 90
4.4: 2.2 2.1 (677), -178 (12) 270
4.5: 2.1 2.1 (384), -178 (15) 270
4.6: 2.0 2.3 (61), -175 (26) 270
4.7: 2.0 2.0 (24), -170 (25) 270
4.8: 2.0 2.0 (35), -147 (34) 270
4.9: 2.0 2.1 (52), -120 (40) 270
5.0: 2.0 2.3 (60), -99 (32) 270
5.1: 2.0 2.2 (282), -102 (37) 270
5.2: 2.0 2.4 (206), -62 (32) 270
5.3: 2.0 2.0 (2), 0 (0) 0 180
5.4: 2.0 2.3 (11), 31 (20) 90
5.5: 2.0 3.5 (575), 17 (21) 90
5.6: 2.5 5.1 (2509), 22 (18) 90
5.7: 3.2 6.0 (4809), 25 (17) 90
5.8: 3.9 5.3 (9536), 25 (19) 90
5.9: 2.8 2.6 (157755), 37 (24) 90
6.0: 3.0 2.9 (250101), 67 (29) 90
6.1: 5.2 3.6 (425625), 116 (48) 90
6.2: 2.9 2.0 (16184), 86 (26) 90
6.3: 3.8 2.1 (1016), 113 (30) 90
6.4: 3.1 2.1 (598), 125 (30) 90
6.5: 2.5 2.0 (190), 134 (29) 90
6.6: 2.5 2.0 (231), 139 (27) 90
6.7: 2.2 2.4 (8101), 174 (20) 90
6.8: 2.6 2.0 (485), 143 (25) 90
6.9: 2.2 2.0 (237), 158 (26) 90
7.0: 2.0 2.0 (55), 174 (16) 90
7.1: 2.0 2.1 (5627), 177 (18) 90
7.2: 3.5 3.5 (355346), -177 (21) 270
7.3: 4.3 3.4 (409963), -178 (22) 270
7.4: 6.7 6.4 (550501), 175 (18) 90
7.5: 2.1 2.1 (48096), 174 (13) 90
7.6: 2.1 2.0 (1080), 173 (12) 90
7.7: 2.2 2.1 (1021), 171 (14) 90
7.8: 2.4 2.2 (1204), 164 (17) 90
7.9: 2.4 2.2 (753), 161 (18) 90
8.0: 2.7 2.1 (1027), 165 (18) 90
8.1: 3.0 2.3 (1625), 175 (17) 90
8.2: 3.2 2.6 (3040), 179 (15) 90
8.3: 3.1 2.6 (2443), 179 (14) 90
8.4: 2.9 2.6 (3011), 178 (13) 90
8.5: 2.6 2.5 (2053), 178 (13) 90
8.6: 2.5 2.4 (2100), 177 (12) 90
8.7: 2.4 2.3 (1392), 176 (12) 90
8.8: 2.6 2.3 (1971), 175 (12) 90
8.9: 2.6 2.3 (2451), 177 (12) 90
9.0: 2.5 2.3 (5751), 178 (13) 90
9.1: 2.3 2.1 (40512), 175 (15) 90
9.2: 2.3 2.2 (60318), 177 (15) 90
9.3: 2.8 2.7 (212855), 177 (14) 90
9.4: 8.3 8.1 (583447), 177 (8) 90
9.5: 5.7 5.6 (532288), 169 (12) 90
9.6: 3.3 3.3 (348617), 169 (13) 90
9.7: 6.2 6.3 (522094), 168 (12) 90
9.8: 5.6 5.6 (530508), 154 (17) 90
9.9: 3.6 3.8 (408012), 170 (11) 90
10.0: 2.8 2.9 (34999), 173 (12) 90
10.1: 2.4 2.5 (5660), 178 (12) 90
10.2: 3.4 3.7 (5082), -180 (11) 270
10.3: 7.7 8.3 (6819), -180 (7) 270
10.4: 7.9 8.6 (6830), -179 (6) 270
10.5: 7.6 8.4 (6828), -179 (6) 270
10.6: 7.2 8.1 (6742), -179 (6) 270
10.7: 6.9 7.8 (6708), -179 (5) 270
10.8: 6.3 7.2 (6530), -179 (6) 270
10.9: 7.0 8.0 (6717), -178 (5) 270
11.0: 6.9 7.9 (6746), -178 (6) 270
11.1: 7.8 9.0 (6808), -178 (6) 270
