13.5: 22.5 25.8 (7096), -174 (3) 270
13.6: 19.6 22.6 (7093), -174 (3) 270
13.7: 7.2 8.7 (25472), -172 (14) 270
13.8: 17.8 20.6 (7047), -174 (4) 270
13.9: 15.1 17.6 (6945), -173 (4) 270
14.0: 4.7 5.5 (5834), -174 (9) 270
14.1: 3.6 4.2 (4873), -175 (10) 270
14.2: 3.3 3.8 (4457), -175 (12) 270
14.3: 3.5 4.0 (4561), -176 (11) 270
14.4: 5.9 7.0 (6425), -176 (8) 270
14.5: 13.0 15.2 (6845), -176 (5) 270
14.6: 13.0 14.8 (6985), -177 (5) 270
14.7: 12.2 13.6 (6936), -177 (5) 270
14.8: 11.9 12.9 (6960), -177 (6) 270
14.9: 10.8 11.6 (6756), -176 (7) 270
15.0: 10.3 11.1 (6930), -177 (8) 270
15.1: 9.6 10.0 (6848), -179 (9) 270
15.2: 9.9 9.6 (6776), 179 (10) 90
15.3: 9.3 8.1 (6773), 177 (19) 90
15.4: 9.9 7.0 (6538), 175 (15) 90
15.5: 9.7 5.3 (6130), 179 (23) 90
15.6: 10.7 4.1 (5597), -164 (33) 270
15.7: 9.2 3.5 (4844), -116 (46) 270
15.8: 8.6 4.7 (6171), -78 (37) 270
15.9: 6.3 5.5 (7254), -58 (37) 270
16.0: 4.6 6.0 (10429), -40 (36) 304 236
16.1: 3.1 4.7 (15473), -21 (35) 334 206
16.2: 2.8 4.4 (24269), -9 (33) 349 191
16.3: 2.6 3.4 (29499), 0 (33) 0 180
16.4: 2.6 3.6 (24611), 11 (40) 13 167
16.5: 2.6 4.3 (18424), 26 (51) 32 148
16.6: 3.0 6.6 (14038), 50 (62) 90
16.7: 3.4 7.2 (10536), 65 (69) 90
16.8: 4.5 9.1 (8971), 95 (67) 90
16.9: 5.2 9.5 (6837), 126 (53) 90
17.0: 6.5 10.8 (6715), 146 (29) 90
17.1: 6.3 9.9 (6370), 156 (20) 90
17.2: 7.2 10.9 (6454), 160 (14) 90
17.3: 6.8 10.2 (6542), 164 (13) 90
17.4: 7.3 11.2 (6660), 168 (8) 90
17.5: 6.5 10.1 (6612), 169 (9) 90
17.6: 7.3 11.6 (6663), 171 (7) 90
17.7: 6.5 10.6 (6512), 171 (9) 90
17.8: 7.2 11.8 (6599), 171 (7) 90
17.9: 6.4 10.6 (6304), 171 (8) 90
18.0: 4.2 7.0 (5538), 171 (10) 90
18.1: 2.3 3.8 (1965), 172 (15) 90
18.2: 2.3 3.7 (1693), 172 (14) 90
18.3: 4.2 7.3 (6065), 171 (11) 90
18.4: 4.2 7.4 (6080), 171 (12) 90
18.5: 3.5 6.4 (5708), 171 (14) 90
18.6: 3.3 6.2 (5770), 170 (15) 90
18.7: 3.3 6.4 (5771), 167 (15) 90
18.8: 3.4 6.7 (5637), 164 (15) 90
18.9: 3.7 7.5 (5975), 164 (15) 90
19.0: 3.8 8.3 (5540), 163 (13) 90
19.1: 3.9 9.5 (5346), 163 (13) 90
19.2: 3.5 9.6 (5224), 167 (14) 90
19.3: 3.5 10.1 (5217), 177 (16) 90
19.4: 3.5 9.6 (5255), -172 (16) 270
19.5: 4.2 9.7 (5664), -162 (14) 270
19.6: 4.5 8.6 (6005), -157 (13) 270
19.7: 5.4 8.6 (6092), -155 (11) 270
19.8: 5.3 7.4 (6150), -152 (12) 270
19.9: 6.0 7.6 (6324), -149 (11) 270
20.0: 5.5 6.4 (6063), -146 (13) 270
20.1: 5.7 6.5 (6205), -142 (12) 270
20.2: 5.2 5.5 (5812), -136 (14) 270
20.3: 5.3 5.7 (5965), -130 (14) 270
20.4: 4.7 4.8 (5054), -121 (16) 270
20.5: 4.3 4.6 (5357), -110 (16) 270
20.6: 3.5 4.0 (4112), -92 (19) 270
20.7: 2.8 4.4 (3924), -74 (21) 270
20.8: 2.3 4.8 (1881), -65 (24) 270
20.9: 2.0 4.3 (370), -70 (26) 270
21.0: 2.0 2.0 (2), -90 (0) 270
21.6: 2.0 6.5 (146), -44 (23) 317 223
21.7: 2.0 6.7 (317), -12 (21) 349 191
21.8: 2.0 6.5 (579), 18 (23) 16 164
21.9: 2.1 6.7 (1242), 43 (22) 41 139
22.0: 2.3 6.4 (1780), 58 (20) 61 119
22.1: 2.4 6.2 (2797), 72 (17) 90
22.2: 2.6 6.0 (2913), 83 (15) 90
22.3: 2.8 6.1 (3673), 92 (14) 90
22.4: 2.9 5.9 (3757), 100 (13) 90
22.5: 2.9 5.8 (4250), 106 (13) 90
22.6: 2.9 5.6 (3978), 111 (14) 90
22.7: 3.0 5.7 (4183), 117 (13) 90
22.8: 3.0 5.4 (3968), 122 (13) 90
22.9: 2.8 5.2 (3756), 127 (14) 90
23.0: 2.7 5.0 (3689), 132 (14) 90
23.1: 2.7 5.1 (3414), 136 (14) 90
23.2: 2.5 4.9 (3069), 140 (14) 90
23.3: 2.3 4.8 (2261), 142 (15) 90
23.4: 2.2 4.8 (1972), 144 (15) 90
23.5: 2.1 4.6 (1287), 143 (16) 90
23.6: 2.1 4.5 (949), 147 (17) 90
23.7: 2.0 4.5 (676), 150 (16) 90
23.8: 2.0 4.5 (525), 152 (17) 90
23.9: 2.0 4.8 (318), 153 (19) 90
24.0: 2.0 4.8 (307), 155 (18) 90
24.1: 2.0 5.1 (157), 160 (15) 90
24.2: 2.0 4.8 (187), 164 (18) 90
24.3: 2.0 5.0 (73), 173 (16) 90
24.4: 2.0 4.7 (45), -175 (16) 270
24.5: 2.0 5.2 (40), -161 (20) 270
24.6: 2.0 4.2 (36), -137 (32) 270
24.7: 2.0 4.1 (50), -104 (28) 270
24.8: 2.0 2.2 (31), -106 (36) 270
25.0: 2.0 2.0 (10), -138 (51) 270
25.1: 2.1 3.1 (721), -48 (28) 321 219
25.2: 2.4 3.8 (2049), -51 (26) 318 222
25.3: 2.6 3.6 (2320), -52 (25) 317 223
25.4: 3.0 3.7 (3237), -61 (24) 307 233
25.5: 3.3 3.4 (3201), -66 (26) 301 239
25.6: 3.4 3.4 (3626), -71 (27) 293 247
25.7: 3.5 3.1 (3013), -81 (28) 270
25.8: 3.5 3.0 (3143), -90 (30) 270
25.9: 3.4 2.8 (2619), -103 (31) 270
26.0: 3.5 2.8 (2756), -119 (31) 270
26.1: 3.6 2.7 (2654), -138 (31) 270
26.2: 4.0 2.9 (3238), -155 (26) 270
26.3: 4.3 3.0 (3459), -171 (26) 270
26.4: 5.0 3.4 (4104), 175 (23) 90
26.5: 5.3 3.6 (4461), 160 (24) 90
26.6: 6.2 4.3 (5025), 146 (21) 90
26.7: 6.7 4.6 (5402), 131 (21) 90
26.8: 7.9 5.4 (5712), 118 (19) 90
26.9: 8.7 5.9 (5940), 105 (18) 90
27.0: 9.4 6.3 (6045), 94 (18) 90
27.1: 9.9 6.5 (6122), 84 (17) 90
27.2: 10.6 6.8 (6200), 76 (17) 68 112
27.3: 11.5 7.0 (6161), 67 (17) 55 125
