13.7: 14.7 17.3 (6897), -174 (4) 270
13.8: 13.1 15.6 (6885), -175 (4) 270
13.9: 10.9 13.3 (6661), -175 (5) 270
14.0: 2.9 2.5 (59714), 149 (18) 90
14.1: 2.9 3.4 (3365), -176 (11) 270
14.2: 2.6 3.1 (2748), -179 (11) 270
14.3: 2.7 3.3 (2903), 178 (12) 90
14.4: 4.1 5.4 (5613), 177 (9) 90
14.5: 8.7 11.5 (6572), 176 (7) 90
14.6: 8.3 10.7 (6765), 173 (7) 90
14.7: 7.7 9.7 (6667), 171 (7) 90
14.8: 7.5 9.3 (6606), 171 (8) 90
14.9: 6.9 8.7 (6331), 168 (11) 90
15.0: 6.7 8.5 (6462), 164 (14) 90
15.1: 6.3 7.7 (6349), 156 (14) 90
15.2: 6.9 7.1 (6374), 147 (16) 90
15.3: 6.2 5.1 (7706), 126 (45) 90
15.4: 8.3 4.2 (6442), 119 (46) 90
15.5: 7.7 2.7 (5225), 96 (73) 90
15.6: 5.7 2.5 (9128), -27 (55) 325 215
15.7: 4.5 3.0 (15251), -10 (71) 348 192
15.8: 4.2 4.6 (8545), -32 (39) 318 222
15.9: 2.9 5.1 (4860), -12 (54) 346 194
16.0: 2.8 5.2 (5022), 67 (55) 90
16.1: 3.4 4.7 (5794), 97 (58) 90
16.2: 4.6 5.3 (6442), 132 (50) 90
16.3: 4.8 5.6 (5550), 158 (35) 90
16.4: 5.4 6.8 (6242), 169 (24) 90
16.5: 5.2 7.2 (5733), 172 (15) 90
16.6: 5.9 8.4 (6145), 170 (10) 90
16.7: 5.8 8.2 (5673), 167 (9) 90
16.8: 6.7 9.1 (6360), 165 (8) 90
16.9: 6.3 8.3 (5958), 164 (9) 90
17.0: 6.9 8.7 (6488), 164 (8) 90
17.1: 6.5 7.9 (6212), 164 (8) 90
17.2: 6.9 8.2 (6353), 165 (8) 90
17.3: 6.4 7.3 (6291), 166 (8) 90
17.4: 6.7 7.6 (6435), 167 (7) 90
17.5: 5.9 6.7 (6324), 169 (8) 90
17.6: 6.4 7.3 (6450), 170 (7) 90
17.7: 5.8 6.8 (6267), 170 (8) 90
17.8: 6.4 7.5 (6438), 170 (7) 90
17.9: 5.8 6.7 (6018), 171 (7) 90
18.0: 3.8 4.5 (5189), 171 (9) 90
18.1: 2.2 2.6 (1348), 173 (13) 90
18.2: 2.2 2.6 (1030), 176 (12) 90
18.3: 3.7 4.7 (5379), 177 (8) 90
18.4: 3.7 5.0 (5565), 178 (8) 90
18.5: 3.3 4.9 (5113), 178 (9) 90
18.6: 3.3 5.2 (5224), 176 (9) 90
18.7: 3.3 5.6 (5192), 173 (10) 90
18.8: 3.4 6.0 (5247), 171 (10) 90
18.9: 3.6 6.7 (5515), 170 (9) 90
19.0: 3.7 7.4 (5162), 170 (10) 90
19.1: 3.7 8.0 (5248), 173 (10) 90
19.2: 3.4 7.9 (5166), 178 (11) 90
19.3: 3.4 8.1 (5102), -171 (12) 270
19.4: 3.2 7.3 (5025), -158 (16) 270
19.5: 3.9 7.1 (5437), -148 (15) 270
19.6: 4.1 6.0 (5621), -143 (16) 270
19.7: 4.8 5.9 (5651), -142 (15) 270
19.8: 4.6 4.9 (5603), -142 (16) 270
19.9: 5.0 5.0 (5793), -141 (15) 270
20.0: 4.5 4.3 (5145), -139 (17) 270
20.1: 4.3 4.4 (5386), -136 (17) 270
20.2: 3.8 4.0 (4600), -130 (20) 270
20.3: 3.4 4.1 (4744), -128 (20) 270
20.4: 2.8 3.8 (3074), -118 (21) 270
20.5: 2.4 4.2 (2264), -117 (24) 270
20.6: 2.0 4.7 (408), -121 (27) 270
20.7: 2.0 5.8 (205), -162 (15) 270
20.8: 2.0 5.9 (438), -179 (15) 270
20.9: 2.0 4.7 (583), 178 (12) 90
21.0: 2.0 2.0 (2), -180 (0) 270
21.6: 2.0 6.2 (227), 131 (16) 90
21.7: 2.1 6.0 (812), 116 (18) 90
21.8: 2.3 5.3 (1722), 107 (16) 90
21.9: 2.6 5.0 (3352), 108 (15) 90
22.0: 3.0 4.6 (3659), 112 (14) 90
22.1: 3.5 4.7 (4628), 117 (13) 90
22.2: 3.7 4.7 (4750), 122 (13) 90
22.3: 4.3 5.1 (5237), 128 (11) 90
22.4: 4.3 5.1 (5246), 132 (11) 90
22.5: 4.6 5.4 (5611), 135 (10) 90
22.6: 4.6 5.4 (5427), 138 (11) 90
22.7: 4.7 5.7 (5570), 140 (10) 90
22.8: 4.6 5.7 (5455), 142 (11) 90
22.9: 4.3 5.5 (5427), 143 (11) 90
23.0: 4.3 5.6 (5428), 144 (10) 90
23.1: 4.1 5.6 (5486), 145 (10) 90
23.2: 3.9 5.6 (5347), 146 (10) 90
23.3: 3.6 5.4 (4952), 146 (12) 90
23.4: 3.5 5.6 (4830), 145 (11) 90
23.5: 3.2 5.3 (4378), 145 (12) 90
23.6: 3.1 5.4 (4287), 144 (12) 90
23.7: 2.9 5.2 (3950), 143 (12) 90
23.8: 2.9 5.3 (3936), 143 (12) 90
23.9: 2.8 5.3 (3428), 144 (12) 90
24.0: 2.7 5.4 (3732), 146 (13) 90
24.1: 2.6 5.4 (2976), 149 (13) 90
24.2: 2.5 5.7 (2925), 152 (13) 90
24.3: 2.3 5.6 (2067), 157 (14) 90
24.4: 2.2 5.9 (1979), 161 (14) 90
24.5: 2.1 5.9 (1074), 170 (14) 90
24.6: 2.0 5.9 (967), 177 (13) 90
24.7: 2.0 5.2 (600), -173 (14) 270
24.8: 2.0 2.9 (349), -168 (15) 270
24.9: 2.0 2.7 (425), -169 (13) 270
25.0: 2.0 2.8 (1769), -171 (14) 270
25.1: 2.0 3.5 (895), -164 (19) 270
25.2: 2.0 3.9 (1331), -158 (23) 270
25.3: 2.0 3.6 (2864), -165 (20) 270
25.4: 2.0 3.6 (3072), -161 (22) 270
25.5: 2.0 3.7 (3424), -161 (22) 270
25.6: 2.1 3.6 (4168), -157 (25) 270
25.7: 2.1 3.6 (3899), -158 (25) 270
25.8: 2.3 3.4 (3599), -147 (30) 270
25.9: 2.5 3.3 (3081), -143 (30) 270
26.0: 2.9 3.1 (3106), -133 (26) 270
26.1: 3.1 3.2 (3078), -133 (24) 270
26.2: 3.4 3.3 (3747), -137 (21) 270
26.3: 3.7 3.3 (3722), -141 (21) 270
26.4: 4.2 3.6 (4316), -146 (20) 270
26.5: 4.4 3.5 (4417), -155 (20) 270
26.6: 5.1 3.7 (4828), -162 (19) 270
26.7: 5.4 3.6 (4703), -168 (19) 270
26.8: 6.2 3.8 (4900), -175 (19) 270
26.9: 6.8 3.7 (4784), 178 (20) 90
27.0: 7.2 3.5 (4802), 176 (21) 90
27.1: 7.7 3.4 (4540), 179 (21) 90
27.2: 7.9 3.4 (4535), -176 (22) 270
27.3: 7.9 3.6 (4745), -170 (20) 270
27.4: 7.2 3.7 (4865), -168 (19) 270
27.5: 6.6 4.0 (5127), -166 (18) 270
27.6: 5.8 4.3 (4956), -168 (18) 270
27.7: 5.3 4.8 (5259), -171 (16) 270
27.8: 4.3 4.8 (5136), -177 (16) 270
27.9: 3.3 4.3 (4320), 173 (18) 90
28.0: 2.0 2.2 (165), 166 (28) 90
28.1: 2.0 2.2 (21), 103 (27) 90
28.2: 2.0 2.4 (22), 80 (13) 71 109
28.3: 2.0 2.4 (38), 92 (22) 90
28.4: 2.0 2.4 (41), 89 (12) 90
28.5: 2.2 2.5 (925), 92 (16) 90
28.6: 2.0 2.2 (52), 87 (12) 90
28.7: 2.0 2.0 (28), 90 (10) 90
28.8: 2.0 2.1 (14), 90 (14) 90
28.9: 2.0 2.0 (7), 90 (0) 90
29.0: 2.0 2.0 (4), 63 (0) 46 134
44.9: 2.0 2.0 (2), -90 (0) 318 222
45.0: 2.1 2.0 (1007), -179 (16) 270
50.0: 2.0 2.0 (2), 90 (0) 37 143
51.6: 2.0 2.0 (2), -90 (0) 325 215
51.7: 2.0 2.0 (2), -90 (0) 325 215
51.8: 2.0 2.0 (4), -103 (13) 319 221
