0.1: 2.1 9.4 (634704), 81 (0) 90
0.2: 2.2 11.1 (639826), -2 (5) 270
0.3: 2.8 11.0 (628120), 0 (8) 0 180
0.4: 2.0 10.3 (639193), 2 (5) 90
0.5: 2.0 9.1 (638197), -153 (0) 270
0.6: 2.0 7.9 (556789), 75 (0) 90
0.7: 2.0 5.7 (33759), -18 (7) 270
0.8: 2.0 4.0 (12), -8 (43) 270
1.0: 2.0 2.3 (9096), -173 (40) 270
1.3: 2.0 2.0 (5), 18 (88) 90
1.4: 2.0 2.3 (16106), 147 (82) 90
1.5: 2.0 2.2 (6791), 18 (86) 90
1.6: 2.0 2.0 (75), 0 (0) 0 180
2.0: 2.0 2.2 (49), -171 (41) 270
2.1: 2.0 2.0 (2), -180 (0) 270
3.1: 2.0 2.8 (39), -176 (13) 270
3.2: 2.9 3.9 (914), -174 (10) 270
3.3: 2.0 2.0 (548), 175 (11) 90
3.4: 2.0 2.1 (124), 173 (15) 90
3.5: 2.0 3.0 (4), 171 (9) 90
3.6: 2.0 2.0 (2), -117 (0) 270
3.9: 2.0 2.0 (2), -90 (0) 270
4.0: 2.0 2.1 (77), -114 (31) 270
4.1: 2.0 2.2 (256), 179 (20) 90
4.2: 2.1 2.1 (469), 177 (15) 90
4.3: 2.1 2.0 (354), -177 (12) 270
4.4: 2.1 2.0 (181), -176 (12) 270
4.5: 2.0 2.0 (173), -171 (17) 270
4.6: 2.0 2.0 (84), -153 (29) 270
4.7: 2.0 2.1 (39), -140 (32) 270
4.8: 2.1 2.1 (34), -123 (27) 270
4.9: 2.0 2.2 (70), -109 (24) 270
5.0: 2.0 2.4 (106), -112 (34) 270
5.1: 2.0 2.9 (135), -104 (35) 270
5.2: 2.0 3.2 (73), -100 (40) 270
5.5: 2.0 4.2 (234), 74 (29) 90
5.6: 2.7 5.7 (3322), 60 (28) 90
5.7: 3.9 3.9 (6865), 58 (36) 90
5.8: 3.9 2.8 (4158), 109 (52) 90
5.9: 2.6 2.4 (12478), 99 (46) 90
6.0: 2.6 3.5 (212448), 128 (59) 90
6.1: 3.0 2.7 (193343), 150 (49) 90
6.2: 5.7 3.7 (396812), 155 (32) 90
6.3: 2.3 2.3 (14951), 168 (28) 90
6.4: 2.4 3.3 (2709), 175 (17) 90
6.5: 2.3 3.4 (1814), 166 (16) 90
6.6: 2.6 3.5 (3372), 164 (14) 90
6.7: 2.9 3.9 (4181), 167 (13) 90
6.8: 3.0 4.1 (4629), 168 (13) 90
6.9: 2.5 3.3 (3398), 171 (16) 90
7.0: 2.0 2.0 (1610), -175 (21) 270
7.1: 2.1 2.1 (23328), -173 (23) 270
7.2: 3.0 2.8 (238352), -175 (26) 270
7.3: 9.7 8.0 (583280), -175 (37) 270
7.4: 4.3 4.3 (439223), -169 (25) 270
7.5: 2.1 2.1 (31194), -175 (13) 270
7.6: 2.1 2.4 (1005), 176 (12) 90
7.7: 2.1 2.4 (771), 171 (14) 90
7.8: 2.3 2.7 (1571), 170 (14) 90
7.9: 2.2 2.6 (1207), 169 (15) 90
8.0: 2.4 2.6 (1906), 168 (16) 90
8.1: 2.7 2.8 (2457), 175 (15) 90
8.2: 3.1 3.5 (4166), -180 (12) 270
8.3: 3.2 3.9 (3895), -177 (11) 270
8.4: 3.6 4.7 (4863), -178 (9) 270
8.5: 3.4 4.7 (4433), -180 (9) 270
8.6: 2.9 3.7 (8248), 175 (11) 90
8.7: 2.9 4.1 (3740), 172 (10) 90
8.8: 2.9 3.7 (4064), 167 (12) 90
8.9: 3.1 3.4 (3747), 171 (11) 90
9.0: 3.5 3.6 (5010), 175 (10) 90
9.1: 2.3 2.5 (19923), 174 (14) 90
9.2: 2.3 2.4 (22149), 178 (14) 90
9.3: 2.2 2.5 (127566), 176 (14) 90
9.4: 5.4 6.1 (584604), 173 (9) 90
9.5: 4.8 5.3 (547363), 177 (11) 90
9.6: 4.5 4.9 (510680), 177 (10) 90
9.7: 9.4 10.0 (612281), 178 (7) 90
9.8: 5.2 5.9 (537982), 178 (8) 90
9.9: 2.9 3.4 (327200), -180 (10) 270
10.0: 2.7 3.1 (166038), 179 (10) 90
10.1: 2.2 2.4 (12459), 178 (12) 90
10.2: 3.1 3.7 (6430), 178 (10) 90
10.3: 5.1 6.1 (12944), -180 (11) 270
10.4: 8.0 9.7 (6854), 177 (6) 90
10.5: 8.0 9.6 (6865), 176 (5) 90
10.6: 7.7 9.2 (6688), 176 (5) 90
10.7: 7.6 9.0 (6708), 176 (5) 90
10.8: 7.0 8.2 (6493), 176 (5) 90
10.9: 7.8 9.1 (6749), 176 (5) 90
11.0: 7.7 8.9 (6931), 176 (6) 90
11.1: 8.9 10.1 (6845), 176 (5) 90
11.2: 9.1 10.2 (6812), 176 (5) 90
11.3: 11.0 12.1 (6871), 176 (5) 90
11.4: 10.9 11.9 (6850), 177 (5) 90
11.5: 12.6 13.5 (6944), 177 (4) 90
11.6: 12.1 12.8 (6952), 178 (4) 90
11.7: 12.8 13.5 (6976), 179 (4) 90
11.8: 11.1 11.7 (7139), -180 (5) 270
11.9: 12.9 13.7 (6922), -180 (4) 270
12.0: 11.1 11.9 (6926), -179 (5) 270
12.1: 13.0 14.1 (6940), -179 (4) 270
12.2: 11.7 12.7 (6842), -179 (5) 270
12.3: 13.7 14.8 (6936), -180 (4) 270
12.4: 12.4 13.2 (6482), -180 (5) 270
12.5: 14.1 14.8 (6921), 179 (4) 90
12.6: 12.5 12.9 (6576), -180 (5) 270
12.7: 14.2 14.3 (6900), -179 (5) 270
12.8: 13.2 12.9 (6679), -178 (5) 270
12.9: 15.2 14.6 (6943), -177 (5) 270
13.0: 14.1 13.5 (6895), -175 (5) 270
13.1: 16.7 16.0 (6941), -171 (5) 270
13.2: 15.2 15.1 (6959), -169 (6) 270
13.3: 17.3 18.3 (7011), -168 (5) 270
13.4: 17.3 19.2 (7034), -168 (4) 270
13.5: 19.4 22.2 (7042), -170 (4) 270
13.6: 18.0 20.9 (7063), -171 (4) 270
13.7: 18.8 22.0 (7069), -172 (4) 270
13.8: 16.9 19.9 (7076), -172 (4) 270
13.9: 14.3 16.9 (6906), -173 (5) 270
14.0: 4.4 5.1 (5510), -173 (10) 270
14.1: 3.4 3.9 (4363), -174 (13) 270
14.2: 3.1 3.5 (3784), -176 (13) 270
14.3: 3.2 3.7 (4148), -178 (14) 270
14.4: 5.5 6.6 (6265), -180 (10) 270
14.5: 12.1 14.2 (6842), 179 (6) 90
14.6: 11.8 13.3 (6925), 178 (7) 90
14.7: 11.2 12.1 (6924), 177 (8) 90
14.8: 10.9 11.3 (6877), 177 (8) 90
14.9: 10.1 10.3 (6631), 178 (10) 90
15.0: 9.7 9.7 (6912), 175 (13) 90
15.1: 9.2 8.5 (6717), 170 (16) 90
15.2: 10.2 7.4 (6618), 164 (19) 90
15.3: 10.7 5.4 (6330), 162 (32) 90
15.4: 11.3 3.5 (5992), -167 (74) 270
15.5: 9.8 3.2 (6848), -62 (64) 270
15.6: 11.4 5.8 (7984), -46 (38) 281 259
15.7: 9.9 8.2 (7456), -38 (33) 306 234
15.8: 8.3 9.9 (7923), -20 (27) 335 205
15.9: 5.5 7.9 (9167), 3 (32) 3 177
16.0: 5.8 8.5 (7976), 36 (38) 48 132
16.1: 5.8 7.1 (7042), 69 (42) 90
16.2: 6.8 7.0 (7244), 99 (43) 90
16.3: 6.4 6.4 (6332), 124 (42) 90
16.4: 7.0 7.3 (6673), 144 (30) 90
16.5: 6.7 7.5 (5968), 155 (18) 90
16.6: 7.3 8.3 (6381), 158 (14) 90
16.7: 7.0 8.1 (5855), 160 (12) 90
16.8: 7.7 8.7 (6612), 161 (10) 90
16.9: 7.3 8.2 (6128), 163 (11) 90
17.0: 8.0 8.9 (6671), 165 (9) 90
17.1: 7.5 8.3 (6389), 167 (9) 90
17.2: 8.2 9.0 (6558), 169 (8) 90
17.3: 7.6 8.4 (6666), 170 (8) 90
17.4: 8.4 9.3 (6738), 172 (7) 90
17.5: 7.4 8.4 (6657), 173 (8) 90
17.6: 8.1 9.4 (6786), 174 (7) 90
17.7: 7.2 8.5 (6624), 174 (7) 90
17.8: 8.0 9.5 (6694), 174 (6) 90
17.9: 6.9 8.4 (6463), 175 (8) 90
18.0: 4.5 5.4 (5864), 175 (9) 90
18.1: 2.4 2.9 (2325), 176 (13) 90
18.2: 2.2 2.6 (2386), 177 (13) 90
18.3: 3.9 5.1 (6508), 178 (9) 90
18.4: 3.8 5.3 (5963), 179 (9) 90
18.5: 3.1 4.7 (5122), 177 (12) 90
18.6: 2.9 4.7 (4604), 173 (13) 90
18.7: 2.9 5.1 (4645), 168 (14) 90
18.8: 3.1 5.4 (4750), 164 (14) 90
18.9: 3.3 6.1 (5087), 161 (13) 90
19.0: 3.5 6.9 (4924), 161 (13) 90
19.1: 3.6 7.7 (5160), 164 (13) 90
19.2: 3.5 8.0 (5194), 171 (14) 90
19.3: 3.9 8.8 (5483), -179 (13) 270
19.4: 4.0 8.5 (5812), -169 (14) 270
19.5: 5.1 9.2 (6169), -163 (12) 270
19.6: 5.3 8.4 (6299), -160 (11) 270
19.7: 6.2 8.8 (6376), -158 (10) 270
19.8: 6.0 7.9 (6295), -157 (10) 270
19.9: 6.6 8.2 (6462), -155 (10) 270
20.0: 5.8 6.9 (6320), -153 (11) 270
20.1: 6.0 7.0 (6427), -150 (11) 270
20.2: 5.3 6.1 (6114), -145 (13) 270
20.3: 5.3 6.2 (6092), -140 (13) 270
20.4: 4.4 5.3 (5224), -132 (15) 270
20.5: 3.9 5.0 (5343), -122 (16) 270
20.6: 3.0 4.6 (3835), -108 (19) 270
20.7: 2.4 5.5 (2667), -99 (22) 270
20.8: 2.0 6.2 (609), -103 (28) 270
20.9: 2.0 6.2 (129), -142 (26) 270
21.0: 2.0 2.0 (4), -148 (31) 270
21.2: 2.0 2.0 (4), -180 (0) 270
21.4: 2.0 2.0 (1), 153 (0) 90
21.5: 2.0 4.0 (2), 153 (0) 90
21.6: 2.0 7.8 (101), 128 (19) 90
21.7: 2.0 7.8 (621), 118 (20) 90
21.8: 2.2 7.0 (1427), 108 (17) 90
21.9: 2.5 6.5 (3020), 110 (16) 90
22.0: 2.8 5.9 (3496), 113 (15) 90
22.1: 3.2 6.0 (4480), 119 (13) 90
22.2: 3.5 5.8 (4740), 123 (13) 90
22.3: 3.9 6.1 (5151), 128 (12) 90
22.4: 4.0 5.9 (5151), 133 (12) 90
22.5: 4.2 6.2 (5571), 137 (11) 90
22.6: 4.1 5.8 (5329), 141 (11) 90
22.7: 4.2 5.9 (5436), 144 (11) 90
22.8: 4.0 5.7 (5217), 147 (11) 90
22.9: 3.8 5.3 (5085), 150 (12) 90
23.0: 3.6 5.1 (4818), 153 (11) 90
23.1: 3.3 4.8 (4709), 156 (12) 90
23.2: 3.0 4.6 (4165), 159 (12) 90
23.3: 2.7 4.3 (3478), 162 (13) 90
23.4: 2.5 4.2 (2985), 164 (13) 90
23.5: 2.4 4.2 (2048), 164 (13) 90
23.6: 2.1 4.1 (1561), 165 (13) 90
23.7: 2.1 4.2 (999), 165 (14) 90
23.8: 2.0 4.1 (830), 164 (15) 90
23.9: 2.0 4.3 (570), 165 (15) 90
24.0: 2.0 4.3 (476), 164 (15) 90
24.1: 2.0 4.1 (323), 166 (16) 90
24.2: 2.0 3.4 (366), 174 (16) 90
24.3: 2.0 2.9 (274), -180 (16) 270
24.4: 2.0 2.4 (381), -175 (16) 270
24.5: 2.0 2.2 (534), -172 (16) 270
24.6: 2.0 2.2 (686), -169 (14) 270
24.7: 2.0 2.3 (932), -167 (16) 270
24.8: 2.0 2.5 (1315), -167 (15) 270
24.9: 2.0 2.6 (1783), -166 (15) 270
25.0: 2.0 2.6 (4163), -168 (15) 270
25.1: 2.0 3.0 (3297), -162 (28) 270
25.2: 2.0 3.2 (4739), -155 (43) 270
25.3: 2.0 3.3 (7021), -155 (40) 270
25.4: 2.0 3.4 (6898), -142 (49) 270
25.5: 2.1 3.5 (7191), -143 (47) 270
25.6: 2.2 3.6 (6743), -143 (45) 270
25.7: 2.2 3.7 (5642), -150 (40) 270
25.8: 2.5 3.7 (3628), -148 (46) 270
25.9: 2.7 3.5 (2259), -147 (52) 270
26.0: 3.2 3.0 (1664), -138 (59) 270
26.1: 3.8 2.8 (1458), -148 (62) 270
26.2: 4.6 2.7 (1731), -159 (55) 270
26.3: 5.3 2.7 (1804), 175 (54) 90
26.4: 6.6 2.6 (2099), 159 (54) 90
26.5: 7.4 2.6 (2312), 143 (57) 90
26.6: 8.6 2.6 (2389), 129 (54) 90
26.7: 9.5 2.6 (2153), 118 (55) 90
26.8: 10.9 2.6 (2179), 108 (57) 90
26.9: 11.3 2.5 (1946), 93 (58) 90
27.0: 11.6 2.4 (1740), 79 (63) 76 104
27.1: 11.8 2.4 (1533), 47 (77) 35 145
27.2: 12.0 2.4 (1596), -11 (75) 352 188
27.3: 13.8 2.3 (1989), -57 (61) 316 224
27.4: 13.6 2.4 (2365), -75 (50) 295 245
27.5: 13.4 2.7 (3263), -89 (36) 270
27.6: 12.7 2.9 (3710), -101 (32) 270
27.7: 12.4 3.2 (4221), -113 (26) 270
27.8: 11.0 3.2 (4237), -122 (25) 270
27.9: 8.8 2.9 (3924), -129 (26) 270
28.0: 2.8 2.0 (365), -138 (68) 270
28.1: 2.1 2.0 (120), 151 (74) 90
28.2: 2.0 2.3 (82), 105 (32) 90
28.3: 2.0 2.2 (56), 96 (29) 90
28.4: 2.0 2.2 (38), 98 (11) 90
28.5: 2.6 2.8 (1396), 101 (16) 90
28.6: 2.0 2.1 (47), 103 (17) 90
28.7: 2.0 2.0 (28), 96 (11) 90
28.8: 2.0 2.0 (14), 94 (14) 90
28.9: 2.0 2.0 (2), 90 (0) 90
29.0: 2.0 2.0 (2), 90 (0) 90
30.0: 2.0 2.0 (90), 158 (23) 90
41.8: 2.0 2.0 (6), -30 (26) 346 194
41.9: 2.0 2.0 (12), -39 (38) 342 198
42.0: 2.0 2.0 (10), -36 (36) 344 196
42.1: 2.0 2.0 (12), -34 (22) 344 196
42.2: 2.0 2.0 (12), -51 (29) 336 204
42.3: 2.0 2.0 (12), -9 (13) 356 184
42.4: 2.0 2.0 (16), -24 (18) 349 191
42.5: 2.0 2.0 (34), -45 (32) 339 201
42.6: 2.0 2.0 (13), -11 (25) 355 185
42.7: 2.0 2.0 (24), -22 (26) 350 190
42.8: 2.0 2.0 (31), -24 (19) 349 191
42.9: 2.0 2.0 (33), -25 (21) 349 191
43.0: 2.0 2.0 (40), -30 (32) 347 193
43.1: 2.0 2.0 (20), -16 (13) 353 187
43.2: 2.0 2.0 (24), -19 (28) 352 188
43.3: 2.0 2.1 (48), -24 (22) 349 191
43.4: 2.0 2.0 (35), -31 (24) 346 194
43.5: 2.0 2.0 (18), -35 (28) 345 195
43.6: 2.0 2.0 (54), -22 (23) 350 190
43.7: 2.0 2.0 (61), -21 (22) 351 189
43.8: 2.0 2.0 (96), -41 (35) 342 198
43.9: 2.0 2.0 (60), -13 (20) 354 186
44.0: 2.0 2.0 (77), -19 (22) 352 188
44.1: 2.0 2.0 (93), -26 (29) 349 191
44.2: 2.0 2.0 (82), -23 (25) 350 190
44.3: 2.0 2.0 (74), -19 (21) 352 188
44.4: 2.0 2.0 (119), -16 (21) 353 187
44.5: 2.0 2.0 (78), -17 (21) 353 187
44.6: 2.0 2.0 (64), -23 (24) 350 190
44.7: 2.0 2.0 (81), -16 (25) 353 187
44.8: 2.0 2.0 (149), -22 (26) 351 189
44.9: 2.0 2.0 (115), -26 (32) 349 191
45.0: 2.1 2.0 (5218), 101 (60) 48 132
45.1: 2.0 2.0 (141), -17 (21) 353 187
45.2: 2.0 2.0 (91), -27 (30) 349 191
45.3: 2.0 2.0 (57), -20 (22) 352 188
45.4: 2.0 2.0 (72), -29 (28) 348 192
45.5: 2.0 2.0 (76), -25 (24) 350 190
45.6: 2.0 2.1 (76), -37 (28) 344 196
45.7: 2.0 2.0 (32), -31 (35) 347 193
45.8: 2.0 2.0 (65), -27 (25) 349 191
45.9: 2.0 2.0 (49), -19 (20) 352 188
46.0: 2.0 2.0 (8), -54 (38) 337 203
46.1: 2.0 2.0 (26), -25 (29) 350 190
46.2: 2.0 2.0 (31), -28 (26) 348 192
46.3: 2.0 2.0 (61), -23 (31) 351 189
46.4: 2.0 2.0 (39), -25 (27) 350 190
46.5: 2.0 2.0 (21), -34 (27) 346 194
46.6: 2.0 2.0 (18), -29 (34) 348 192
46.7: 2.0 2.0 (19), -34 (34) 346 194
46.8: 2.0 2.0 (22), -42 (35) 343 197
46.9: 2.0 2.0 (37), -35 (29) 346 194
47.0: 2.0 2.1 (18), -22 (19) 351 189
47.1: 2.0 2.1 (17), -16 (16) 354 186
47.2: 2.0 2.2 (9), -13 (21) 355 185
47.3: 2.0 2.0 (18), -22 (19) 351 189
47.4: 2.0 2.0 (26), -23 (25) 351 189
47.5: 2.0 2.0 (346), -18 (27) 353 187
47.6: 2.0 2.1 (17), -18 (20) 353 187
47.7: 2.0 2.0 (24), -34 (24) 346 194
47.8: 2.0 2.2 (8), -45 (34) 342 198
47.9: 2.0 2.1 (19), -16 (16) 354 186
48.0: 2.0 2.0 (20), -32 (34) 347 193
48.1: 2.0 2.0 (12), -36 (28) 346 194
48.2: 2.0 2.0 (10), -12 (25) 355 185
48.3: 2.0 2.0 (6), -39 (38) 344 196
48.4: 2.0 2.0 (22), -27 (30) 349 191
48.5: 2.0 2.0 (10), -23 (35) 351 189
48.6: 2.0 2.0 (21), -35 (36) 346 194
48.7: 2.0 2.0 (19), -35 (35) 346 194
48.8: 2.0 2.0 (117), -28 (36) 349 191
48.9: 2.0 2.0 (35), -30 (33) 348 192
49.0: 2.0 2.0 (7), -63 (0) 335 205
49.1: 2.0 2.0 (5), -41 (41) 344 196
49.2: 2.0 2.0 (12), -30 (35) 348 192
49.3: 2.0 2.0 (14), -30 (37) 348 192
49.4: 2.0 2.0 (31), -9 (23) 357 183
49.5: 2.0 2.0 (32), -18 (30) 353 187
49.6: 2.0 2.0 (8), -25 (28) 351 189
49.7: 2.0 2.0 (10), -30 (38) 348 192
49.8: 2.0 2.0 (12), 0 (0) 0 180
49.9: 2.0 2.0 (12), 15 (39) 6 174
50.0: 2.0 2.0 (546), 51 (76) 20 160
50.1: 2.0 2.0 (25), -14 (35) 355 185
50.2: 2.0 2.0 (21), -8 (29) 357 183
50.3: 2.0 2.0 (10), 0 (0) 0 180
50.4: 2.0 2.0 (14), -19 (37) 353 187
50.5: 2.0 2.0 (2), 0 (0) 0 180
51.7: 2.0 2.0 (2), -90 (0) 325 215
51.8: 2.0 2.0 (2), -153 (0) 280 260
52.0: 2.0 2.0 (2), -90 (0) 325 215
52.1: 2.0 2.0 (4), -103 (13) 319 221
53.0: 2.0 2.0 (4), -103 (13) 320 220
53.7: 2.0 2.0 (2), -117 (0) 314 226
55.9: 2.0 2.0 (2), -153 (0) 295 245
60.1: 2.0 2.0 (2), -117 (0) 320 220
60.4: 2.0 2.0 (2), -90 (0) 330 210
61.6: 2.0 2.5 (4), -90 (0) 331 209
61.7: 2.0 3.0 (4), -90 (0) 331 209
61.8: 2.0 2.6 (12), -90 (0) 331 209
61.9: 2.0 3.0 (2), -90 (0) 331 209
62.2: 2.0 3.0 (2), -90 (0) 331 209
62.6: 2.0 3.0 (2), -90 (0) 332 208
62.7: 2.0 3.0 (2), -90 (0) 332 208
62.9: 2.0 3.0 (2), -72 (0) 338 202
92.4: 7.9 4.1 (640000), 19 (7) 4 176
94.8: 2.1 2.4 (595), -95 (10) 341 199 69 111
94.9: 3.4 4.9 (639808), -96 (7) 340 200 68 112
95.0: 2.0 2.5 (767), -101 (13) 339 201 65 115
96.9: 3.2 2.0 (328), 136 (16) 309 231 28 152
97.0: 4.4 2.3 (625764), 134 (13) 309 231 27 153
97.1: 3.9 2.0 (544), 130 (15) 308 232 26 154
99.0: 2.0 2.0 (248), -162 (17) 327 213 42 138
99.1: 3.2 3.1 (637712), 35 (0) 7 173
99.2: 2.0 2.0 (352), -156 (19) 329 211 43 137
101.3: 5.1 2.0 (1112), 86 (11) 295 245 16 164
101.4: 8.8 3.7 (639383), 84 (7) 295 245 16 164
101.5: 4.4 2.0 (437), 85 (12) 295 245 16 164
104.1: 2.6 2.1 (329), -149 (21) 332 208 43 137
104.2: 6.4 4.7 (639993), -150 (7) 332 208 42 138
104.3: 2.5 2.1 (925), -157 (19) 330 210 40 140
105.1: 2.9 2.0 (76), -154 (14) 331 209 41 139
105.2: 5.0 2.6 (635931), -138 (0) 334 206 45 135
105.3: 2.3 2.0 (16), -172 (10) 327 213 37 143
106.0: 2.0 2.0 (4), -166 (13) 329 211 38 142
106.1: 2.9 2.0 (37318), -171 (12) 328 212 37 143
106.2: 2.0 2.0 (21), -177 (8) 326 214 35 145
106.4: 2.0 2.0 (2), -153 (0) 332 208 40 140
106.5: 2.2 2.0 (31332), -165 (16) 329 211 38 142
106.6: 2.8 2.0 (35514), -165 (15) 329 211 38 142
106.7: 7.8 4.6 (639762), -159 (7) 330 210 39 141
106.8: 3.3 2.1 (167354), -57 (0) 350 190 71 109
106.9: 4.7 3.1 (329715), -165 (10) 329 211 37 143
107.0: 26.2 17.1 (640000), 12 (0) 2 178
107.1: 4.7 3.0 (315172), -167 (10) 329 211 37 143
107.2: 3.0 2.0 (109627), -169 (12) 329 211 37 143
107.3: 2.5 2.0 (11893), -170 (13) 328 212 36 144
107.4: 3.3 2.0 (215188), -166 (13) 329 211 37 143
107.5: 2.5 2.0 (668), -166 (14) 329 211 37 143
