0.1: 2.5 9.8 (639951), -7 (6) 270
0.2: 2.9 11.7 (640000), -22 (0) 270
0.3: 3.0 11.3 (639996), 0 (3) 0 180
0.4: 2.5 10.8 (639998), 172 (0) 90
0.5: 2.4 9.6 (640000), 8 (4) 90
0.6: 2.0 8.0 (639222), 68 (0) 90
0.7: 2.0 6.0 (202083), -66 (0) 270
0.8: 2.0 4.0 (130), -26 (24) 270
0.9: 2.0 2.0 (1089), 26 (64) 90
1.0: 2.1 2.7 (62781), -179 (36) 270
1.1: 2.0 2.0 (17), -180 (0) 270
1.3: 2.0 2.0 (15), 18 (88) 90
1.4: 2.0 2.0 (529), -4 (85) 288 252
1.5: 2.0 2.0 (231), 22 (20) 90
1.6: 2.0 2.0 (284), 1 (8) 12 168
1.7: 2.0 2.0 (38), -3 (8) 324 216
2.0: 2.0 2.2 (239), -168 (41) 270
2.1: 2.0 2.0 (2), -180 (0) 270
2.5: 2.0 2.0 (2), 90 (0) 90
3.0: 2.0 2.0 (2), -90 (0) 270
3.1: 2.0 2.2 (123), -174 (24) 270
3.2: 2.1 2.1 (528), -177 (11) 270
3.3: 2.2 2.1 (1220), -179 (9) 270
3.4: 2.0 2.1 (538), 178 (14) 90
3.5: 2.0 2.5 (278), 179 (22) 90
3.6: 2.0 2.3 (18), -174 (55) 270
3.7: 2.0 2.0 (4), -148 (31) 270
3.8: 2.1 2.1 (16), 169 (30) 90
3.9: 2.0 2.5 (4), -166 (13) 270
4.0: 2.0 2.0 (4), -180 (0) 270
4.1: 2.0 2.1 (33), 167 (25) 90
4.2: 2.0 2.0 (110), 173 (15) 90
4.3: 2.0 2.0 (169), 177 (9) 90
4.4: 2.0 2.0 (91), -177 (10) 270
4.5: 2.0 2.0 (101), -177 (13) 270
4.6: 2.0 2.0 (75), -167 (17) 270
4.7: 2.0 2.0 (60), -151 (37) 270
4.8: 2.0 2.0 (29), -121 (34) 270
4.9: 2.0 2.1 (97), -98 (25) 270
5.0: 2.0 2.4 (68), -79 (26) 270
5.1: 2.0 2.6 (355), -84 (42) 270
5.2: 2.0 3.2 (38), -45 (29) 270
5.4: 2.0 2.0 (2), 0 (0) 0 180
5.5: 2.1 3.7 (514), 36 (31) 90
5.6: 3.0 5.0 (4314), 39 (25) 90
5.7: 4.5 4.1 (6224), 46 (28) 90
5.8: 4.5 2.6 (2852), 106 (38) 90
5.9: 4.3 2.8 (3349), 152 (27) 90
6.0: 3.7 3.1 (3671), 168 (21) 90
6.1: 3.5 3.5 (4616), 173 (17) 90
6.2: 3.2 3.7 (4669), 176 (15) 90
6.3: 2.9 3.8 (4447), 176 (13) 90
6.4: 2.6 3.8 (3417), 175 (13) 90
6.5: 2.3 3.6 (2048), 169 (14) 90
6.6: 2.4 3.5 (3003), 161 (15) 90
6.7: 2.7 3.8 (3483), 163 (14) 90
6.8: 2.7 3.9 (3918), 162 (15) 90
6.9: 2.3 3.1 (2494), 161 (18) 90
7.0: 2.0 2.0 (18), -171 (13) 270
7.1: 2.0 2.0 (12), -175 (10) 270
7.2: 2.0 2.0 (4), -180 (0) 270
7.3: 2.0 2.2 (20), 177 (8) 90
7.4: 2.4 2.5 (1865), 173 (13) 90
7.5: 2.4 2.7 (2160), 176 (10) 90
7.6: 2.3 2.6 (2365), 176 (10) 90
7.7: 2.2 2.6 (1743), 175 (11) 90
7.8: 2.3 2.9 (2244), 174 (12) 90
7.9: 2.3 2.8 (1642), 172 (14) 90
8.0: 2.5 2.8 (2319), 171 (15) 90
8.1: 2.8 3.0 (2748), 175 (15) 90
8.2: 3.4 3.6 (4445), -180 (12) 270
8.3: 3.4 3.9 (4174), -178 (11) 270
8.4: 3.8 4.6 (4955), -177 (9) 270
8.5: 3.4 4.4 (4433), -179 (9) 270
8.6: 3.5 4.8 (4985), 177 (8) 90
8.7: 3.1 3.9 (3817), 172 (10) 90
8.8: 3.2 3.5 (4549), 170 (11) 90
8.9: 3.4 3.3 (3821), 176 (11) 90
9.0: 3.7 3.4 (4411), -178 (11) 270
9.1: 3.1 2.9 (3329), -174 (16) 270
9.2: 2.7 2.5 (1622), -169 (20) 270
9.3: 2.5 2.6 (1172), 167 (22) 90
9.4: 2.9 3.2 (3216), 161 (17) 90
9.5: 3.4 3.7 (4406), 165 (13) 90
9.6: 4.4 4.6 (5673), 168 (10) 90
9.7: 5.4 5.6 (6161), 173 (7) 90
9.8: 7.0 7.4 (6546), 174 (6) 90
9.9: 8.6 9.1 (6721), 176 (5) 90
10.0: 8.1 8.7 (6626), 177 (5) 90
10.1: 4.1 4.5 (5208), 178 (9) 90
10.2: 6.3 7.0 (6334), 178 (7) 90
10.3: 17.2 18.9 (6951), 178 (4) 90
10.4: 19.8 21.6 (6952), 178 (3) 90
10.5: 23.0 25.0 (6984), 178 (3) 90
10.6: 23.3 25.2 (6971), 178 (2) 90
10.7: 22.7 24.3 (6975), 178 (2) 90
10.8: 18.4 19.7 (6956), 179 (2) 90
10.9: 17.6 18.7 (6950), 179 (2) 90
11.0: 15.0 15.8 (6899), 179 (3) 90
11.1: 13.4 14.0 (7405), 179 (4) 90
11.2: 12.1 12.6 (6838), -180 (4) 270
11.3: 12.1 12.6 (6839), -179 (5) 270
11.4: 10.4 10.9 (6717), -178 (5) 270
11.5: 10.5 11.0 (6820), -178 (5) 270
11.6: 9.6 10.1 (6759), -178 (5) 270
11.7: 10.0 10.7 (6762), -178 (4) 270
11.8: 9.0 9.6 (6732), -178 (4) 270
11.9: 10.4 11.1 (6730), -179 (4) 270
12.0: 9.4 10.0 (6684), -179 (4) 270
12.1: 11.6 12.3 (6791), -179 (4) 270
12.2: 11.1 11.5 (6559), -179 (5) 270
12.3: 13.0 13.3 (6825), -179 (4) 270
12.4: 12.2 12.4 (6359), -178 (5) 270
12.5: 14.3 14.4 (6785), -178 (4) 270
12.6: 12.8 12.8 (6420), -177 (5) 270
12.7: 14.6 14.7 (6818), -176 (4) 270
12.8: 13.7 13.9 (6606), -176 (4) 270
12.9: 15.8 16.0 (6884), -176 (3) 270
13.0: 14.4 14.5 (6819), -175 (4) 270
13.1: 16.7 16.9 (6902), -174 (3) 270
13.2: 14.7 15.0 (6863), -173 (4) 270
13.3: 16.5 17.3 (6907), -172 (4) 270
13.4: 15.2 16.4 (6868), -173 (4) 270
13.5: 16.8 18.4 (6944), -174 (4) 270
13.6: 3.1 3.2 (96660), 166 (18) 90
13.7: 15.6 17.2 (6891), -176 (4) 270
13.8: 13.7 15.1 (6853), -176 (4) 270
13.9: 11.6 12.8 (6704), -176 (5) 270
14.0: 3.7 4.1 (4948), -177 (10) 270
14.1: 3.0 3.3 (3528), -177 (11) 270
14.2: 2.9 3.1 (2884), -177 (12) 270
14.3: 2.8 3.1 (3142), 179 (12) 90
14.4: 4.5 4.9 (5757), 179 (10) 90
14.5: 9.6 10.6 (6535), 177 (6) 90
14.6: 9.5 10.1 (6681), 175 (7) 90
14.7: 9.0 9.1 (6701), 174 (7) 90
14.8: 9.0 8.8 (6599), 174 (8) 90
14.9: 8.3 7.9 (6364), 175 (9) 90
15.0: 8.2 7.8 (6485), 173 (10) 90
15.1: 7.6 6.9 (6384), 168 (12) 90
15.2: 8.1 6.4 (6483), 161 (16) 90
15.3: 7.9 5.1 (6413), 149 (38) 90
15.4: 4.7 2.8 (15736), 125 (35) 90
15.5: 9.2 2.7 (3923), 149 (59) 90
15.6: 9.0 2.7 (3992), -71 (73) 270
15.7: 8.3 4.0 (5371), -52 (39) 270
15.8: 6.6 5.8 (6633), -40 (32) 303 237
15.9: 4.0 5.7 (7330), -21 (37) 334 206
16.0: 2.9 4.8 (9351), 6 (38) 7 173
16.1: 2.9 4.4 (9077), 39 (57) 54 126
16.2: 3.5 5.0 (10353), 73 (74) 90
16.3: 3.4 4.7 (10192), 80 (85) 90
16.4: 3.5 5.5 (10864), 92 (90) 90
16.5: 3.2 5.7 (9924), 89 (90) 90
16.6: 3.5 6.9 (10042), 93 (86) 90
16.7: 3.6 7.0 (8506), 97 (82) 90
16.8: 4.8 8.8 (7800), 124 (67) 90
16.9: 5.3 9.0 (6190), 147 (45) 90
17.0: 6.3 9.8 (6494), 155 (23) 90
17.1: 6.0 8.9 (6131), 157 (15) 90
17.2: 6.7 9.3 (6392), 158 (19) 90
17.3: 6.2 8.2 (6446), 161 (23) 90
17.4: 6.6 8.5 (6468), 160 (12) 90
17.5: 5.9 7.5 (6430), 163 (17) 90
17.6: 5.7 7.0 (7920), 169 (24) 90
17.7: 5.5 6.9 (6956), 167 (22) 90
17.8: 6.4 8.0 (6421), 162 (10) 90
17.9: 5.8 7.3 (6028), 162 (10) 90
18.0: 3.9 4.8 (5176), 163 (13) 90
18.1: 2.2 2.7 (1460), 173 (27) 90
18.2: 2.1 2.7 (1118), 170 (23) 90
18.3: 3.8 4.9 (5730), 164 (17) 90
18.4: 3.9 5.1 (6151), 166 (23) 90
18.5: 3.4 4.5 (6302), 168 (27) 90
18.6: 3.4 4.6 (6299), 165 (28) 90
18.7: 3.6 4.9 (6048), 159 (26) 90
18.8: 3.7 5.2 (5881), 154 (22) 90
18.9: 3.9 5.8 (6049), 153 (22) 90
19.0: 4.1 6.6 (5544), 148 (18) 90
19.1: 3.9 7.6 (5346), 147 (15) 90
19.2: 3.4 8.0 (4911), 150 (17) 90
19.3: 3.1 8.9 (4310), 164 (20) 90
19.4: 2.8 8.6 (3994), -173 (23) 270
19.5: 3.6 8.6 (5085), -153 (19) 270
19.6: 4.2 7.6 (5610), -145 (17) 270
19.7: 5.3 7.6 (5974), -143 (14) 270
19.8: 5.4 6.7 (6050), -142 (14) 270
19.9: 6.1 6.8 (6316), -140 (13) 270
20.0: 5.5 5.8 (5905), -138 (14) 270
20.1: 5.8 5.9 (5974), -135 (14) 270
20.2: 5.2 5.3 (5606), -131 (15) 270
20.3: 5.1 5.2 (5859), -126 (15) 270
20.4: 4.4 4.6 (4839), -118 (17) 270
20.5: 3.9 4.5 (5098), -109 (18) 270
20.6: 3.0 4.4 (3619), -98 (20) 270
20.7: 2.5 5.5 (2818), -95 (20) 270
20.8: 2.1 6.5 (1077), -107 (22) 270
20.9: 2.0 5.7 (429), -131 (23) 270
21.0: 2.0 2.0 (2), -153 (0) 270
21.5: 2.0 3.3 (3), 159 (34) 90
21.6: 2.0 8.1 (11), -166 (24) 270
21.7: 2.0 8.3 (21), 123 (27) 90
21.8: 2.0 7.6 (219), 94 (23) 90
21.9: 2.1 7.0 (1390), 95 (21) 90
22.0: 2.5 6.3 (2452), 96 (17) 90
22.1: 2.9 6.0 (3844), 104 (15) 90
22.2: 3.2 5.7 (4260), 110 (14) 90
22.3: 3.7 6.0 (4905), 116 (13) 90
22.4: 3.9 5.8 (5095), 121 (12) 90
22.5: 4.3 6.0 (5525), 126 (12) 90
22.6: 4.3 5.8 (5370), 130 (12) 90
22.7: 4.7 6.2 (5522), 134 (11) 90
22.8: 4.7 6.1 (5532), 138 (11) 90
22.9: 4.6 5.9 (5429), 141 (11) 90
23.0: 4.6 6.0 (5614), 144 (10) 90
23.1: 4.6 6.0 (5632), 147 (10) 90
23.2: 4.5 6.1 (5533), 150 (10) 90
23.3: 4.2 5.9 (5335), 151 (11) 90
23.4: 4.0 6.1 (5330), 153 (11) 90
23.5: 3.7 5.7 (4846), 153 (11) 90
23.6: 3.5 5.8 (4834), 153 (11) 90
23.7: 3.3 5.4 (4394), 153 (11) 90
23.8: 3.2 5.5 (4309), 153 (12) 90
23.9: 3.1 5.4 (3822), 153 (12) 90
24.0: 3.1 5.6 (4144), 153 (12) 90
24.1: 2.9 5.4 (3630), 155 (13) 90
24.2: 2.9 5.5 (3838), 155 (13) 90
24.3: 2.8 5.3 (3115), 158 (13) 90
24.4: 2.7 5.4 (3562), 160 (13) 90
24.5: 2.5 5.0 (2706), 164 (14) 90
24.6: 2.5 5.1 (2850), 168 (14) 90
24.7: 2.3 4.5 (2269), 176 (14) 90
24.8: 2.0 2.9 (1210), -172 (18) 270
24.9: 2.0 2.0 (1053), -161 (20) 270
25.0: 2.0 2.0 (4278), -160 (22) 270
25.1: 2.0 2.4 (3788), -154 (20) 270
25.2: 2.0 2.6 (6177), -151 (20) 270
25.3: 2.0 2.6 (11172), -151 (19) 270
25.4: 2.0 2.8 (12279), -149 (20) 270
25.5: 2.0 2.9 (15577), -148 (19) 270
25.6: 2.0 3.1 (18562), -147 (19) 270
25.7: 2.0 3.2 (19347), -146 (19) 270
25.8: 2.0 3.3 (16679), -145 (19) 270
25.9: 2.0 3.3 (13694), -145 (20) 270
26.0: 2.1 3.3 (8910), -143 (22) 270
26.1: 2.3 3.2 (5021), -142 (24) 270
26.2: 2.8 3.0 (3445), -139 (27) 270
26.3: 3.3 2.9 (2785), -142 (32) 270
26.4: 4.0 2.7 (2901), -151 (35) 270
26.5: 4.5 2.8 (2882), -167 (36) 270
26.6: 5.0 2.9 (3483), 173 (36) 90
26.7: 5.4 3.1 (3678), 154 (36) 90
26.8: 6.1 3.4 (4383), 138 (32) 90
26.9: 6.7 3.7 (4602), 119 (29) 90
27.0: 7.1 3.8 (4793), 106 (27) 90
27.1: 7.8 3.8 (4864), 91 (26) 90
27.2: 8.7 3.8 (4786), 80 (25) 77 103
27.3: 9.4 3.5 (4506), 69 (26) 57 123
27.4: 9.4 3.2 (3925), 60 (30) 47 133
27.5: 9.9 2.8 (3254), 49 (34) 36 144
27.6: 9.4 2.5 (2043), 38 (48) 27 153
27.7: 8.4 2.3 (1133), 17 (81) 12 168
27.8: 7.3 2.2 (1000), -129 (84) 270
27.9: 5.4 2.2 (1074), -157 (58) 270
28.0: 2.3 2.0 (179), 115 (78) 90
28.1: 2.0 2.1 (67), 101 (45) 90
28.2: 2.0 2.5 (32), 110 (44) 90
28.3: 2.0 2.3 (31), 104 (22) 90
28.4: 2.0 2.7 (24), 117 (29) 90
28.5: 2.4 2.9 (1233), 120 (20) 90
28.6: 2.0 2.4 (19), 127 (29) 90
28.7: 2.0 2.0 (8), 121 (31) 90
28.8: 2.0 2.2 (10), 113 (23) 90
28.9: 2.0 2.0 (2), 117 (0) 90
30.0: 2.0 2.0 (11), 175 (10) 90
41.5: 2.0 2.0 (2), -63 (0) 330 210
41.6: 2.0 2.2 (10), -56 (14) 333 207
41.7: 2.1 2.0 (20), -51 (16) 336 204
41.8: 2.0 2.2 (10), -46 (16) 339 201
41.9: 2.0 2.3 (16), -45 (16) 339 201
42.0: 2.0 2.0 (2), -53 (0) 335 205
42.7: 2.0 2.0 (4), 0 (0) 0 180
42.8: 2.0 2.5 (4), -22 (4) 350 190
42.9: 2.0 2.0 (6), -9 (13) 356 184
43.0: 2.0 2.0 (2), -90 (0) 316 224
43.1: 2.0 2.0 (4), 0 (0) 0 180
43.2: 2.2 2.4 (41), -42 (19) 341 199
43.3: 2.3 2.5 (48), -49 (21) 338 202
43.4: 2.1 2.1 (45), -40 (30) 342 198
43.5: 2.1 2.1 (54), -38 (25) 343 197
43.6: 2.0 2.1 (32), -35 (29) 345 195
43.7: 2.0 2.0 (14), -8 (12) 357 183
43.8: 2.0 2.0 (22), -22 (27) 351 189
43.9: 2.0 2.0 (21), -14 (21) 354 186
44.0: 2.0 2.0 (17), -10 (29) 356 184
44.1: 2.0 2.0 (11), -11 (24) 355 185
44.2: 2.0 2.0 (13), -25 (27) 349 191
44.3: 2.0 2.0 (6), -18 (13) 352 188
44.4: 2.0 2.0 (21), -14 (25) 354 186
44.5: 2.0 2.0 (10), -5 (11) 358 182
44.6: 2.0 2.0 (11), -10 (13) 356 184
44.7: 2.0 2.0 (10), -30 (38) 347 193
44.8: 2.0 2.1 (50), -17 (21) 353 187
44.9: 2.0 2.1 (55), -20 (31) 351 189
45.0: 2.1 2.0 (2600), 109 (52) 54 126
45.1: 2.0 2.0 (53), -14 (20) 354 186
45.2: 2.0 2.0 (62), -23 (27) 350 190
45.3: 2.0 2.0 (39), -20 (19) 352 188
45.4: 2.0 2.0 (43), -17 (24) 353 187
45.5: 2.0 2.1 (35), -29 (38) 348 192
45.6: 2.0 2.0 (52), -20 (31) 352 188
45.7: 2.0 2.1 (46), -30 (31) 348 192
45.8: 2.0 2.0 (35), -25 (29) 350 190
45.9: 2.0 2.0 (45), -23 (28) 351 189
46.0: 2.0 2.1 (47), -16 (24) 354 186
46.1: 2.0 2.0 (75), -21 (26) 351 189
46.2: 2.0 2.0 (55), -21 (27) 351 189
46.3: 2.1 2.1 (39), -11 (19) 356 184
46.4: 2.0 2.0 (47), -23 (29) 351 189
46.5: 2.0 2.0 (41), -23 (25) 351 189
46.6: 2.0 2.0 (21), -19 (19) 352 188
46.7: 2.0 2.1 (35), -25 (25) 350 190
46.8: 2.0 2.0 (31), -36 (34) 345 195
46.9: 2.1 2.0 (36), -13 (27) 355 185
47.0: 2.0 2.0 (30), -21 (30) 351 189
47.1: 2.0 2.0 (23), -5 (10) 358 182
47.2: 2.0 2.0 (22), -15 (20) 354 186
47.3: 2.0 2.0 (25), -14 (29) 354 186
47.4: 2.0 2.0 (22), -16 (27) 354 186
47.5: 2.0 2.0 (104), -9 (27) 357 183
47.6: 2.0 2.0 (18), -13 (15) 355 185
47.7: 2.0 2.0 (12), -24 (21) 351 189
47.8: 2.0 2.0 (9), -40 (45) 344 196
47.9: 2.0 2.0 (9), -20 (25) 352 188
48.0: 2.0 2.0 (21), -23 (33) 351 189
48.1: 2.0 2.0 (12), -24 (21) 351 189
48.2: 2.0 2.0 (12), -36 (37) 346 194
48.3: 2.0 2.0 (6), -21 (30) 352 188
