13.9: 12.6 15.8 (7901), -177 (9) 270
14.0: 4.2 5.4 (5513), -175 (8) 270
14.1: 3.2 4.1 (4393), -175 (9) 270
14.2: 3.0 3.8 (3830), -175 (10) 270
14.3: 3.1 3.9 (4207), -177 (10) 270
14.4: 5.4 7.0 (6223), -178 (7) 270
14.5: 12.4 15.8 (6749), -179 (5) 270
14.6: 12.0 15.1 (6866), -180 (4) 270
14.7: 11.4 14.1 (6836), 179 (5) 90
14.8: 11.5 13.8 (6839), -180 (4) 270
14.9: 10.4 12.3 (6632), -180 (5) 270
15.0: 10.1 11.8 (6833), -179 (5) 270
15.1: 8.9 10.2 (6991), -179 (6) 270
15.2: 9.3 10.3 (6720), -179 (6) 270
15.3: 8.1 8.6 (7049), -178 (7) 270
15.4: 8.3 8.2 (6771), -174 (9) 270
15.5: 7.3 6.7 (6311), -167 (12) 270
15.6: 6.4 5.9 (6718), -155 (17) 270
15.7: 5.0 5.7 (5649), -138 (21) 270
15.8: 4.1 7.1 (5482), -130 (21) 270
15.9: 3.2 8.3 (4314), -143 (23) 270
16.0: 3.1 10.0 (4405), -165 (19) 270
16.1: 3.4 10.0 (4496), -179 (15) 270
16.2: 4.2 10.9 (5864), 174 (13) 90
16.3: 4.4 10.2 (5426), 174 (14) 90
16.4: 5.1 11.6 (6153), 174 (11) 90
16.5: 5.0 11.3 (5739), 175 (14) 90
16.6: 5.6 13.1 (6274), 175 (19) 90
16.7: 5.1 12.1 (6085), 178 (34) 90
16.8: 5.5 12.6 (7678), -174 (51) 270
16.9: 5.1 10.5 (8407), -162 (66) 270
17.0: 6.0 11.0 (9132), -163 (67) 270
17.1: 6.0 10.5 (8430), -164 (64) 270
17.2: 6.8 12.1 (7802), -172 (52) 270
17.3: 5.7 10.6 (8526), -161 (58) 270
17.4: 7.1 14.4 (6842), 174 (22) 90
17.5: 6.2 13.0 (6565), 169 (15) 90
17.6: 6.9 14.2 (6614), 167 (12) 90
17.7: 5.9 11.5 (7044), 175 (30) 90
17.8: 6.9 13.8 (6629), 173 (12) 90
17.9: 6.0 12.6 (6328), 176 (12) 90
18.0: 3.9 8.5 (5634), 178 (14) 90
18.1: 2.2 4.1 (2317), -174 (24) 270
18.2: 2.1 3.8 (2168), -166 (25) 270
18.3: 3.1 8.0 (5814), -163 (17) 270
18.4: 2.9 8.4 (5095), -152 (18) 270
18.5: 2.3 7.2 (3263), -141 (24) 270
18.6: 2.1 5.5 (2060), -136 (36) 270
18.7: 2.0 4.4 (1272), -136 (58) 270
18.8: 2.0 4.6 (730), 165 (84) 90
18.9: 2.0 5.9 (564), 167 (79) 90
19.0: 2.1 6.6 (974), -126 (63) 270
19.1: 2.7 6.6 (3133), -97 (37) 270
19.2: 3.7 5.5 (4782), -91 (34) 270
19.3: 5.4 4.2 (5014), -95 (35) 270
19.4: 6.9 3.1 (3932), -107 (43) 270
19.5: 9.1 2.8 (3238), -168 (46) 270
19.6: 8.8 3.0 (4023), 156 (28) 90
19.7: 9.2 4.0 (5234), 145 (18) 90
19.8: 8.1 4.3 (5440), 143 (17) 90
19.9: 8.1 5.3 (6022), 142 (15) 90
20.0: 6.7 5.1 (5763), 140 (15) 90
20.1: 6.2 5.8 (6060), 138 (15) 90
20.2: 5.0 5.4 (5599), 135 (16) 90
20.3: 4.4 5.8 (5646), 128 (17) 90
20.4: 3.3 5.2 (4074), 118 (20) 90
20.5: 2.9 4.9 (3678), 92 (22) 90
20.6: 2.9 3.6 (2840), 65 (24) 90
20.7: 3.8 2.8 (3222), 47 (24) 49 131
20.8: 4.6 2.2 (1230), 51 (26) 55 125
20.9: 4.4 2.0 (258), 72 (35) 90
21.4: 2.0 2.5 (4), 166 (13) 90
21.5: 2.0 2.0 (10), 163 (13) 90
21.6: 2.3 2.9 (1551), -178 (22) 270
21.7: 2.3 3.4 (1466), 164 (22) 90
21.8: 2.3 3.6 (984), 144 (20) 90
21.9: 2.4 3.8 (1834), 129 (17) 90
22.0: 2.6 3.6 (2179), 121 (17) 90
22.1: 2.9 3.6 (3530), 119 (16) 90
22.2: 3.1 3.5 (3618), 120 (16) 90
22.3: 3.5 3.7 (4277), 124 (15) 90
22.4: 3.5 3.7 (4336), 128 (15) 90
22.5: 3.7 3.9 (4791), 133 (14) 90
22.6: 3.5 4.0 (4583), 135 (15) 90
22.7: 3.5 4.2 (4695), 138 (15) 90
22.8: 3.4 4.3 (4488), 139 (15) 90
22.9: 3.1 4.1 (4127), 140 (15) 90
23.0: 2.9 4.2 (3854), 139 (16) 90
23.1: 2.7 4.1 (3509), 139 (17) 90
23.2: 2.5 3.9 (2848), 137 (18) 90
23.3: 2.4 3.6 (1971), 137 (20) 90
23.4: 2.2 3.3 (1745), 138 (21) 90
23.5: 2.2 3.2 (1183), 141 (21) 90
23.6: 2.1 2.9 (967), 152 (22) 90
23.7: 2.1 3.0 (803), 160 (22) 90
23.8: 2.1 3.1 (809), 176 (21) 90
23.9: 2.1 3.5 (725), -175 (21) 270
24.0: 2.1 3.6 (949), -160 (24) 270
24.1: 2.1 4.0 (865), -147 (24) 270
24.2: 2.2 4.2 (1307), -129 (25) 270
24.3: 2.2 4.3 (1342), -114 (25) 270
24.4: 2.3 4.4 (2163), -100 (22) 270
24.5: 2.4 4.2 (2200), -90 (24) 270
24.6: 2.7 4.3 (3038), -80 (22) 270
24.7: 2.8 4.1 (2894), -75 (21) 270
24.8: 2.4 2.9 (1736), -74 (27) 277 263
24.9: 2.0 2.0 (58), -77 (81) 270
25.0: 2.0 2.0 (313), -137 (70) 270
25.1: 4.0 3.2 (3729), -66 (27) 299 241
25.2: 5.3 3.7 (4788), -67 (29) 298 242
25.3: 5.8 3.4 (4228), -69 (36) 295 245
25.4: 6.8 3.4 (4761), -68 (37) 297 243
25.5: 7.0 2.8 (4141), -72 (50) 290 250
25.6: 7.6 2.7 (3708), -69 (54) 296 244
25.7: 6.2 2.3 (2773), -81 (77) 270
25.8: 6.8 2.2 (1938), -59 (78) 311 229
25.9: 5.2 2.1 (1539), 61 (85) 52 128
26.0: 6.4 2.2 (1389), 58 (60) 48 132
26.1: 6.2 2.4 (2298), 79 (37) 90
26.2: 6.5 3.1 (3947), 77 (27) 77 103
26.3: 6.7 3.9 (4923), 71 (22) 64 116
26.4: 8.0 5.3 (5629), 65 (17) 55 125
26.5: 8.6 6.5 (6066), 58 (16) 47 133
26.6: 10.4 8.4 (6199), 53 (13) 41 139
26.7: 11.6 9.7 (6311), 48 (11) 37 143
26.8: 13.8 11.7 (6372), 45 (8) 34 146
26.9: 15.4 13.4 (6439), 42 (8) 31 149
27.0: 16.7 14.5 (6545), 41 (16) 30 150
27.1: 18.2 15.8 (6487), 37 (6) 27 153
27.2: 19.5 16.7 (6548), 35 (6) 25 155
27.3: 21.3 17.9 (6519), 33 (6) 24 156
27.4: 21.1 17.2 (6554), 32 (5) 23 157
27.5: 22.1 17.5 (6550), 31 (5) 22 158
27.6: 21.7 16.6 (6509), 30 (6) 21 159
27.7: 22.1 16.2 (6499), 29 (5) 20 160
27.8: 20.0 13.9 (6470), 29 (6) 20 160
27.9: 16.4 10.8 (6484), 29 (7) 20 160
28.0: 5.2 3.6 (4416), 30 (13) 21 159
28.1: 3.8 2.7 (2973), 30 (15) 21 159
28.2: 3.3 2.4 (2025), 30 (18) 21 159
28.3: 3.0 2.2 (1325), 30 (18) 21 159
28.4: 2.8 2.1 (860), 31 (21) 21 159
28.5: 2.6 2.1 (559), 32 (21) 22 158
28.6: 2.5 2.0 (324), 32 (22) 22 158
28.7: 2.3 2.0 (174), 28 (23) 19 161
28.8: 2.2 2.0 (77), 23 (17) 15 165
28.9: 2.0 2.0 (51), 27 (24) 18 162
29.0: 2.0 2.0 (30), 15 (15) 10 170
29.1: 2.2 2.0 (14), 6 (10) 4 176
29.2: 3.0 2.0 (4), 22 (22) 14 166
29.3: 2.0 2.0 (4), 45 (18) 31 149
45.0: 2.0 2.0 (24), 172 (17) 90
50.0: 2.0 2.3 (58), -178 (12) 270
50.3: 2.0 2.0 (8), -180 (0) 270
50.4: 2.0 2.0 (2), -180 (0) 270
88.7: 2.0 5.3 (68), -23 (14) 355 185
88.8: 2.3 6.5 (630454), 88 (0) 19 161
88.9: 2.0 4.5 (664), -24 (14) 355 185
92.3: 2.0 6.2 (1121), 4 (11) 1 179
92.4: 3.9 12.1 (639537), 9 (6) 2 178
92.5: 2.0 6.2 (2629), 12 (12) 2 178
94.8: 4.0 2.0 (256), -80 (13) 344 196 80 100
94.9: 6.7 3.7 (639820), -120 (0) 335 205 58 122
95.0: 3.3 2.0 (967), -82 (11) 344 196 77 103
96.9: 2.0 6.3 (23), 33 (10) 6 174
97.0: 2.4 9.7 (620692), 37 (10) 7 173
97.1: 2.0 6.6 (653), 50 (14) 10 170
99.0: 3.0 2.0 (423), -104 (14) 340 200 60 120
99.1: 5.7 3.0 (638811), -104 (8) 340 200 59 121
99.2: 3.2 2.0 (793), -100 (12) 341 199 61 119
101.3: 2.0 4.6 (163), 116 (13) 306 234 22 158
101.4: 2.1 6.4 (593949), -26 (0) 355 185
101.5: 2.0 5.2 (131), 112 (14) 305 235 21 159
104.1: 5.1 2.0 (205), -129 (15) 336 204 48 132
104.2: 9.0 2.7 (638686), -145 (0) 333 207 43 137
104.3: 5.6 2.0 (321), -128 (14) 336 204 48 132
104.7: 2.0 2.0 (10), 0 (0) 0 180
104.8: 2.0 2.0 (117909), 4 (20) 1 179
104.9: 2.0 2.0 (2), 0 (0) 0 180
105.1: 5.0 2.0 (37), 172 (11) 323 217 33 147
105.2: 6.8 2.1 (574904), 170 (11) 323 217 32 148
106.1: 3.0 2.0 (7723), -178 (9) 326 214 35 145
106.5: 3.0 2.0 (4), -171 (9) 328 212 36 144
106.6: 4.9 2.0 (588), 176 (14) 325 215 33 147
106.7: 8.6 3.1 (637704), 143 (0) 317 223 26 154
106.8: 5.9 2.0 (2209), -169 (18) 328 212 37 143
106.9: 11.9 2.5 (33457), -143 (13) 334 206 43 137
107.0: 36.9 8.4 (639578), -141 (4) 334 206 43 137
107.1: 11.6 2.5 (35630), -142 (13) 334 206 43 137
107.2: 7.6 2.0 (75), -141 (11) 334 206 43 137
107.4: 4.4 2.0 (326), -179 (7) 326 214 34 146
