14.5: 8.8 13.3 (6679), -174 (6) 270
14.6: 8.3 12.6 (6850), -174 (6) 270
14.7: 7.8 11.7 (6773), -174 (6) 270
14.8: 7.5 11.0 (6763), -173 (6) 270
14.9: 6.9 9.9 (6501), -173 (7) 270
15.0: 6.5 9.1 (7042), -172 (8) 270
15.1: 6.3 8.7 (6601), -171 (8) 270
15.2: 6.1 8.2 (6874), -170 (8) 270
15.3: 5.4 7.1 (6663), -169 (10) 270
15.4: 5.5 7.0 (6407), -167 (10) 270
15.5: 4.9 6.1 (6217), -164 (11) 270
15.6: 4.9 6.0 (6486), -161 (13) 270
15.7: 4.5 5.7 (5800), -156 (14) 270
15.8: 4.7 6.2 (6021), -153 (14) 270
15.9: 4.7 6.2 (5854), -154 (15) 270
16.0: 5.4 7.1 (6155), -156 (15) 270
16.1: 5.7 6.9 (5944), -155 (17) 270
16.2: 7.3 8.0 (6650), -154 (16) 270
16.3: 7.7 7.6 (6201), -148 (18) 270
16.4: 9.7 8.6 (6722), -141 (17) 270
16.5: 10.3 8.4 (6366), -129 (22) 270
16.6: 12.6 9.8 (6827), -115 (23) 270
16.7: 12.0 9.9 (6707), -96 (29) 270
16.8: 11.5 10.8 (8717), -76 (31) 270
16.9: 8.6 10.0 (9459), -62 (32) 270
17.0: 7.5 11.4 (9884), -52 (32) 270
17.1: 5.8 11.6 (8518), -47 (35) 294 246
17.2: 5.0 13.2 (7754), -42 (39) 306 234
17.3: 3.9 13.7 (5811), -34 (47) 319 221
17.4: 3.6 15.8 (4609), -20 (54) 338 202
17.5: 3.0 14.3 (2970), -5 (69) 355 185
17.6: 2.9 15.5 (2665), 25 (80) 28 152
17.7: 2.6 14.8 (2135), 57 (84) 90
17.8: 2.6 15.5 (2683), 123 (58) 90
17.9: 2.6 14.3 (2239), 131 (42) 90
18.0: 2.2 9.0 (1060), 132 (36) 90
18.1: 2.0 3.8 (60), -176 (72) 270
18.2: 2.0 3.5 (72), -177 (51) 270
18.3: 2.2 7.5 (1758), 153 (23) 90
18.4: 2.2 6.8 (1742), 157 (22) 90
