0.1: 2.3 9.6 (621002), -6 (9) 270
0.2: 2.6 11.4 (632045), -3 (10) 270
0.3: 3.0 11.1 (628033), 0 (10) 0 180
0.4: 2.3 10.5 (626805), -46 (0) 270
0.5: 2.2 9.3 (621442), -156 (0) 270
0.6: 2.0 8.0 (579694), -1 (8) 326 214
0.7: 2.1 5.9 (127610), -9 (21) 270
0.8: 2.2 4.2 (36668), -3 (40) 270
0.9: 2.2 2.5 (21481), -4 (60) 270
1.0: 2.1 2.4 (22093), -175 (52) 270
1.2: 2.2 2.0 (197), 137 (88) 90
1.3: 2.2 2.0 (5555), 25 (81) 90
1.4: 2.2 2.3 (16339), -5 (70) 270
1.5: 2.2 2.4 (23559), -4 (55) 297 243
1.6: 2.2 2.6 (24575), -5 (47) 270
1.7: 2.2 2.3 (20453), 8 (53) 90
1.8: 2.2 2.0 (12609), 15 (68) 90
1.9: 2.2 2.0 (1860), 69 (99) 90
2.0: 2.2 2.0 (5303), -173 (66) 270
2.1: 2.1 2.0 (15), -175 (58) 270
2.2: 2.0 2.0 (10), -149 (38) 270
2.4: 2.2 2.0 (22), 166 (57) 90
2.5: 2.2 2.0 (93), -129 (83) 270
2.6: 2.2 2.0 (1630), -41 (79) 270
2.7: 2.2 2.0 (5182), -19 (77) 270
2.8: 2.2 2.0 (2917), 22 (82) 90
2.9: 2.2 2.0 (334), 111 (91) 90
3.0: 2.2 2.0 (177), 171 (71) 90
3.1: 2.2 2.0 (94), -168 (49) 270
3.2: 2.0 2.0 (51), -171 (31) 270
3.3: 2.2 2.0 (634), 174 (26) 90
3.4: 2.1 2.0 (2288), -178 (38) 270
3.5: 2.1 2.1 (1850), -175 (48) 270
3.6: 2.2 2.0 (1974), -168 (64) 270
3.7: 2.2 2.0 (2591), -157 (69) 270
3.8: 2.2 2.0 (1389), -140 (88) 270
3.9: 2.2 2.0 (488), -171 (82) 270
4.0: 2.1 2.0 (119), -175 (80) 270
4.1: 2.2 2.2 (353), 171 (33) 90
4.2: 2.2 2.1 (481), 169 (19) 90
4.3: 2.2 2.0 (392), 174 (18) 90
4.4: 2.3 2.0 (152), -180 (16) 270
4.5: 2.1 2.0 (189), -169 (20) 270
4.6: 2.1 2.0 (87), -158 (32) 270
4.7: 2.1 2.0 (49), -109 (39) 270
4.8: 2.1 2.0 (52), -75 (46) 270
4.9: 2.1 2.2 (309), -50 (39) 270
5.0: 2.1 2.5 (704), -23 (34) 270
5.1: 2.2 2.3 (8616), 41 (47) 90
5.2: 2.2 2.4 (17144), 4 (21) 15 165
5.3: 2.3 2.2 (77990), 9 (17) 34 146
5.4: 2.7 2.0 (41657), 13 (17) 53 127
5.5: 3.2 2.0 (333), 34 (31) 90
5.6: 3.9 2.0 (101), 109 (35) 90
5.7: 3.4 2.0 (585), 164 (27) 90
5.8: 3.1 2.3 (1646), 170 (24) 90
5.9: 3.0 2.7 (2666), 172 (22) 90
6.0: 2.8 2.8 (2411), 172 (21) 90
6.1: 2.5 2.9 (3015), 176 (26) 90
6.2: 2.3 2.7 (1459), 174 (19) 90
6.3: 2.1 2.5 (639), 174 (19) 90
6.4: 2.1 2.4 (119), 166 (31) 90
6.5: 2.0 2.2 (107), 156 (28) 90
6.6: 2.1 2.7 (1033), 160 (20) 90
6.7: 2.3 3.1 (1660), 157 (19) 90
6.8: 2.2 3.1 (1715), 155 (21) 90
6.9: 2.1 2.5 (351), 156 (29) 90
7.1: 2.0 2.0 (2), 127 (0) 90
7.2: 2.6 2.0 (6), 168 (38) 90
7.3: 2.0 2.0 (2), -180 (0) 270
7.4: 2.1 2.2 (157), 173 (22) 90
7.5: 2.1 2.3 (362), 171 (17) 90
7.6: 2.1 2.4 (576), 164 (17) 90
7.7: 2.2 2.5 (857), 164 (17) 90
7.8: 2.3 2.8 (2022), 162 (18) 90
7.9: 2.4 2.8 (1865), 164 (18) 90
8.0: 2.6 2.9 (2830), 167 (17) 90
8.1: 2.8 3.2 (2988), 171 (17) 90
8.2: 3.4 4.0 (4624), 172 (14) 90
8.3: 3.6 4.4 (4373), 173 (13) 90
8.4: 4.1 5.2 (5426), 174 (11) 90
8.5: 3.8 5.0 (4988), 174 (11) 90
8.6: 4.0 5.3 (5473), 173 (10) 90
8.7: 3.4 4.5 (4459), 172 (12) 90
8.8: 3.3 4.3 (4690), 171 (12) 90
8.9: 3.1 3.9 (3805), 172 (13) 90
9.0: 3.4 4.1 (4797), 174 (13) 90
9.1: 3.2 3.8 (4107), 177 (15) 90
9.2: 3.0 3.5 (4284), 177 (17) 90
9.3: 2.7 3.2 (2785), 176 (17) 90
9.4: 2.5 3.1 (2993), 174 (16) 90
9.5: 2.8 3.7 (3312), 173 (14) 90
9.6: 3.5 4.9 (5153), 174 (12) 90
9.7: 3.9 5.5 (6787), 176 (14) 90
9.8: 3.3 4.0 (18001), 178 (28) 90
9.9: 5.5 8.1 (6399), 176 (8) 90
10.0: 4.7 7.0 (6021), 177 (10) 90
10.1: 2.5 3.5 (2441), 177 (17) 90
10.2: 3.0 4.5 (4501), 177 (14) 90
10.3: 6.5 10.0 (6585), 177 (8) 90
10.4: 6.5 10.1 (6568), 177 (8) 90
10.5: 6.3 9.7 (6544), 177 (8) 90
10.6: 5.9 9.0 (6462), 176 (8) 90
10.7: 5.7 8.6 (6396), 176 (8) 90
10.8: 5.1 7.9 (6049), 177 (9) 90
10.9: 5.6 8.5 (6361), 177 (8) 90
11.0: 5.7 8.5 (6450), 176 (8) 90
11.1: 6.9 10.4 (6671), 177 (7) 90
11.2: 7.3 11.0 (6688), 178 (8) 90
11.3: 9.4 13.9 (6796), 178 (7) 90
11.4: 9.4 13.9 (6859), 179 (7) 90
11.5: 11.0 16.4 (6955), 179 (5) 90
11.6: 10.6 15.8 (6920), -180 (5) 270
11.7: 11.2 16.9 (6929), -180 (6) 270
11.8: 2.6 3.6 (115765), -167 (19) 270
11.9: 11.0 16.9 (7062), -179 (6) 270
12.0: 9.1 14.0 (7463), -180 (11) 270
12.1: 11.1 17.2 (7093), -180 (7) 270
12.2: 10.3 16.1 (6725), -180 (6) 270
12.3: 12.1 18.8 (6936), -179 (5) 270
12.4: 11.1 17.1 (6445), -179 (6) 270
12.5: 12.7 19.7 (6884), -178 (5) 270
12.6: 11.7 18.3 (6539), -178 (6) 270
12.7: 13.4 21.2 (6925), -177 (5) 270
12.8: 12.6 20.2 (6687), -177 (6) 270
12.9: 14.8 23.8 (6974), -177 (4) 270
13.0: 13.5 21.9 (6909), -178 (5) 270
13.1: 15.4 24.9 (6968), -177 (4) 270
13.2: 12.9 21.0 (6925), -178 (6) 270
13.3: 13.6 22.3 (6987), -178 (5) 270
13.4: 12.5 20.3 (6971), -178 (5) 270
13.5: 13.8 22.4 (6979), -179 (5) 270
13.6: 12.4 19.9 (6997), -179 (5) 270
13.7: 9.6 15.0 (10615), 173 (31) 90
13.8: 12.7 19.7 (6950), -179 (5) 270
13.9: 11.1 17.1 (6799), -178 (6) 270
14.0: 3.5 5.5 (4895), -177 (12) 270
14.1: 2.8 4.3 (3612), -177 (14) 270
14.2: 2.6 3.9 (2994), -176 (16) 270
14.3: 2.7 4.1 (3276), -174 (15) 270
14.4: 4.5 6.8 (5960), -173 (11) 270
14.5: 10.1 14.9 (6710), -173 (6) 270
14.6: 9.4 13.8 (6846), -172 (7) 270
14.7: 8.6 12.7 (6810), -171 (8) 270
14.8: 8.1 11.7 (6717), -170 (8) 270
14.9: 7.2 10.4 (6407), -170 (9) 270
15.0: 7.1 10.1 (6560), -169 (9) 270
15.1: 6.5 9.0 (6516), -169 (11) 270
15.2: 6.5 8.8 (6546), -167 (10) 270
15.3: 6.0 7.8 (6364), -166 (12) 270
15.4: 6.1 7.7 (6363), -165 (12) 270
15.5: 5.7 6.9 (6127), -162 (14) 270
15.6: 5.8 6.7 (6259), -159 (14) 270
15.7: 5.2 5.8 (5898), -154 (18) 270
15.8: 5.6 6.0 (6085), -148 (18) 270
15.9: 5.3 5.7 (5773), -143 (21) 270
16.0: 6.2 6.5 (6007), -138 (20) 270
16.1: 6.4 6.4 (5798), -132 (24) 270
16.2: 8.5 7.7 (6344), -123 (23) 270
16.3: 9.3 7.8 (6172), -104 (28) 270
16.4: 12.2 10.6 (6871), -81 (24) 270
16.5: 9.9 11.0 (8120), -53 (26) 270
16.6: 7.0 11.0 (11485), -32 (25) 320 220
16.7: 5.7 14.1 (7399), -23 (31) 333 207
16.8: 4.3 18.4 (6211), -2 (34) 358 182
16.9: 2.9 17.5 (4095), 20 (49) 23 157
17.0: 2.6 18.8 (3528), 77 (50) 90
17.1: 2.7 17.8 (3546), 118 (44) 90
17.2: 3.1 18.4 (4459), 135 (33) 90
17.3: 3.2 16.2 (4686), 145 (31) 90
17.4: 3.5 16.3 (5296), 149 (24) 90
17.5: 3.4 13.8 (5132), 157 (32) 90
17.6: 3.5 12.9 (6396), 160 (37) 90
17.7: 3.1 9.2 (7923), 164 (49) 90
17.8: 3.3 9.7 (8534), 163 (46) 90
17.9: 2.9 7.3 (9896), 177 (48) 90
18.0: 2.4 5.1 (7360), 170 (54) 90
18.1: 2.2 2.7 (4930), -172 (62) 270
18.2: 2.2 2.6 (4755), -173 (61) 270
18.3: 2.6 4.2 (8664), 171 (47) 90
18.4: 2.6 4.0 (8435), 170 (45) 90
18.5: 2.6 3.5 (7096), 175 (46) 90
18.6: 2.6 3.6 (5627), 178 (40) 90
18.7: 2.8 3.9 (4684), -172 (33) 270
18.8: 2.8 4.1 (4403), -168 (29) 270
18.9: 3.0 4.3 (4638), -165 (22) 270
19.0: 3.2 4.3 (4396), -164 (18) 270
19.1: 3.1 3.7 (3895), -165 (18) 270
19.2: 3.0 2.9 (2690), -176 (23) 270
19.3: 2.6 2.8 (2095), 149 (32) 90
19.4: 2.4 3.6 (1868), 130 (28) 90
19.5: 2.3 5.6 (2252), 139 (24) 90
19.6: 2.4 6.6 (2344), 151 (22) 90
19.7: 2.5 7.1 (3109), 162 (18) 90
19.8: 2.6 6.9 (3096), 169 (16) 90
19.9: 2.8 7.1 (3977), 176 (15) 90
20.0: 2.8 6.5 (3545), -177 (16) 270
20.1: 2.9 6.7 (3943), -170 (14) 270
20.2: 2.7 6.0 (3478), -162 (17) 270
20.3: 2.7 5.9 (3517), -153 (17) 270
20.4: 2.3 5.0 (2137), -142 (21) 270
20.5: 2.1 4.3 (1238), -124 (26) 270
20.6: 2.1 3.4 (128), -99 (51) 270
20.7: 2.2 3.2 (80), 8 (94) 7 173
20.8: 2.1 3.8 (187), 140 (60) 90
20.9: 2.1 3.9 (289), 153 (30) 90
21.0: 2.3 2.0 (6), -144 (26) 270
