0.1: 2.1 9.5 (638157), -8 (5) 270
0.2: 2.4 11.3 (639967), 10 (0) 90
0.3: 2.9 11.0 (635911), 19 (0) 90
0.4: 2.1 10.4 (639880), 2 (4) 90
0.5: 2.1 9.2 (639867), -159 (0) 270
0.6: 2.0 8.0 (601349), -1 (2) 326 214
0.7: 2.0 5.9 (48475), -16 (8) 270
0.8: 2.8 5.3 (18), -51 (72) 270
0.9: 4.9 6.4 (21), 135 (59) 90
1.0: 2.0 2.4 (9545), -173 (39) 270
1.1: 11.3 12.2 (15), -179 (4) 270
1.2: 17.4 18.3 (15), 179 (4) 90
1.3: 17.0 18.6 (15), 178 (6) 90
1.4: 4.4 4.9 (61), 168 (82) 90
1.5: 4.8 7.0 (29), 68 (85) 90
1.6: 6.9 10.1 (13), -164 (70) 270
1.7: 10.0 12.0 (10), 162 (37) 90
1.8: 8.5 14.0 (11), 176 (17) 90
1.9: 8.6 14.8 (10), -171 (6) 270
2.0: 3.1 4.0 (59), -143 (42) 270
2.1: 7.7 13.0 (8), -169 (10) 270
2.2: 7.0 9.2 (10), 173 (28) 90
2.3: 6.0 8.9 (11), 115 (70) 90
2.4: 8.5 14.2 (8), -123 (55) 270
2.5: 7.9 13.6 (13), -146 (33) 270
2.6: 10.0 14.5 (11), -169 (25) 270
2.7: 11.3 13.9 (11), -155 (13) 270
2.8: 12.2 15.5 (11), -161 (9) 270
2.9: 10.2 12.7 (15), -179 (29) 270
3.0: 10.7 13.4 (13), 177 (34) 90
3.1: 13.2 15.1 (9), -166 (14) 270
3.2: 7.9 8.3 (16), -177 (16) 270
3.3: 2.4 2.3 (169), 173 (11) 90
3.4: 3.5 3.5 (42), 175 (16) 90
3.5: 7.0 8.0 (9), -178 (49) 270
3.6: 8.1 7.7 (11), -104 (41) 270
3.7: 16.2 15.9 (13), -155 (50) 270
3.8: 20.4 19.0 (13), -155 (28) 270
3.9: 15.9 14.9 (13), -160 (28) 270
4.0: 9.4 9.0 (13), -168 (17) 270
4.1: 2.3 2.4 (128), 170 (23) 90
4.2: 2.1 2.1 (349), 170 (16) 90
4.3: 2.0 2.0 (303), 176 (13) 90
4.4: 2.0 2.0 (126), 178 (12) 90
4.5: 2.0 2.0 (130), -175 (11) 270
4.6: 2.0 2.0 (31), -164 (24) 270
4.7: 2.0 2.0 (2), -90 (0) 270
4.8: 2.0 2.0 (4), -90 (0) 270
4.9: 2.0 2.2 (7), -123 (53) 270
5.0: 2.0 3.0 (6), -162 (75) 270
5.1: 2.3 3.3 (6), -108 (41) 270
5.2: 2.4 5.5 (9), -98 (83) 270
5.3: 3.0 8.5 (4), -152 (62) 270
5.4: 2.6 4.0 (6), 46 (84) 90
5.5: 2.0 3.7 (472), 33 (24) 90
5.6: 2.6 4.9 (2946), 31 (20) 90
5.7: 3.8 5.4 (5429), 32 (16) 90
5.8: 5.7 5.1 (6231), 34 (16) 90
5.9: 6.5 3.7 (5118), 43 (20) 90
6.0: 5.2 2.4 (2248), 73 (32) 90
6.1: 4.1 2.2 (1314), 118 (34) 90
6.2: 3.3 2.1 (962), 140 (28) 90
6.3: 2.8 2.1 (538), 146 (27) 90
6.4: 2.7 2.1 (280), 150 (25) 90
6.5: 2.8 2.1 (1055), 162 (18) 90
6.6: 2.9 2.6 (3326), 161 (15) 90
6.7: 3.1 3.1 (3839), 157 (16) 90
6.8: 3.3 3.3 (4286), 152 (16) 90
6.9: 2.6 2.7 (2668), 151 (20) 90
7.0: 5.7 5.1 (22), 177 (22) 90
7.1: 7.2 6.5 (14), 177 (25) 90
7.2: 8.0 8.0 (11), -157 (12) 270
7.3: 8.4 9.2 (9), -162 (11) 270
7.4: 2.3 2.2 (595), 171 (15) 90
7.5: 2.3 2.2 (1023), 169 (14) 90
7.6: 2.3 2.2 (1358), 164 (15) 90
7.7: 2.4 2.3 (1342), 161 (17) 90
7.8: 2.6 2.5 (2239), 157 (18) 90
7.9: 2.8 2.4 (2007), 159 (17) 90
