13.5: 14.9 19.9 (6872), -180 (4) 270
13.6: 13.6 17.8 (6879), -180 (4) 270
13.7: 14.1 18.2 (6861), -179 (4) 270
13.8: 12.4 15.8 (6858), -179 (4) 270
13.9: 10.5 13.4 (6626), -178 (5) 270
14.0: 3.4 4.4 (4712), -179 (9) 270
14.1: 2.7 3.5 (3361), -178 (10) 270
14.2: 2.6 3.2 (2641), -177 (11) 270
14.3: 2.6 3.3 (2612), -178 (12) 270
14.4: 3.8 4.8 (5425), -178 (10) 270
14.5: 8.3 10.2 (6416), -178 (6) 270
14.6: 7.4 9.1 (6581), -178 (7) 270
14.7: 6.8 8.2 (6489), -179 (8) 270
14.8: 6.7 7.7 (6449), 179 (8) 90
14.9: 6.5 7.0 (6116), 178 (10) 90
15.0: 6.8 6.7 (6306), 176 (11) 90
15.1: 6.7 5.7 (6168), 176 (12) 90
15.2: 7.3 5.1 (6076), 179 (14) 90
15.3: 7.6 4.3 (5488), -172 (18) 270
15.4: 8.3 4.1 (5480), -154 (20) 270
15.5: 7.7 3.9 (5272), -132 (22) 270
15.6: 7.3 4.5 (5798), -112 (20) 270
15.7: 5.7 4.9 (5537), -101 (26) 270
15.8: 4.5 5.7 (5708), -98 (21) 270
15.9: 3.5 6.1 (4512), -111 (23) 270
16.0: 3.6 6.5 (4903), -131 (22) 270
16.1: 4.2 5.9 (5314), -130 (33) 270
16.2: 5.0 5.3 (8583), -89 (58) 270
16.3: 5.0 5.5 (7837), -80 (51) 270
16.4: 5.2 6.6 (9627), -62 (50) 270
16.5: 4.5 6.8 (9797), -48 (49) 285 255
16.6: 4.3 8.3 (9927), -45 (48) 296 244
16.7: 3.5 8.4 (8385), -42 (49) 303 237
16.8: 3.4 10.7 (7332), -54 (44) 270
16.9: 3.0 11.8 (5130), -60 (40) 270
17.0: 2.8 14.1 (4018), -69 (30) 270
17.1: 2.4 15.6 (2269), -73 (25) 270
17.2: 2.1 16.8 (1259), -71 (29) 270
17.3: 2.0 17.1 (191), -83 (28) 270
17.4: 2.0 16.6 (46), -112 (53) 270
17.5: 2.0 8.9 (56), 145 (81) 90
17.6: 2.0 14.3 (119), 147 (27) 90
17.7: 2.0 15.6 (350), 151 (22) 90
17.8: 2.0 15.0 (536), 154 (19) 90
